sec,voen,vojp,s,en,cn,jp
226,vocs_over_over_monastery1_post_n00,vocs_monastery1_post_n00_jp,NINJA,"So he took that cannon blast and it only cost him a leg? Got to say, I'm impressed. What is he doing now?",挨了一炮，只丢了条腿？真是命大啊。现在他在做什么?,つまり、大砲の一撃を食らっておいて失ったのは足一本？正直、驚いたな。今はどうしているんだ？
226,vocs_over_over_monastery1_post_n01,vocs_monastery1_post_n01_jp,WARRIOR,We supplied him with tools and materials. He has been working in his chamber ever since.,我们给琢磨大师提供了工具和材料。之后他就一直在工作室里忙碌着。,かの人には我らが道具や物資を供給しておる。以来、薬室にて働いておられる。
226,vocs_over_over_monastery1_post_n02,vocs_monastery1_post_n02_jp,GEISHA,He seemed willing to enter the Shogun's services. How does he plan to compensate for his … disability?,虽然他很热心为将军效劳。但腿部的残疾……要如何克服呢？,上様のために戦いに加わりたいみたいだったわ。けど、どうやって成し遂げるつもりなのかしら、その…障碍で。
226,vocs_over_over_monastery1_post_n03,vocs_monastery1_post_n03_jp,WARRIOR,"We will know soon enough. How was your scouting mission, Hayato-san?",很快就知道了。隼人兄，侦察的情况如何？,なに、すぐにわかる。密偵はどうであった、隼人殿？
226,vocs_over_over_monastery1_post_n04,vocs_monastery1_post_n04_jp,NINJA,"We had a look Lord Yabu's mansion. Big place, heavily guarded. It's closed off by a wall, but Yuki found a way inside.",我们探查了薮大名的宅邸。地方很大，重兵把守，外有围墙。但友希还是发现了进去的路。,藪の御殿を見てきた。広くて、守りは堅い。塀で囲まれていたが、雪が中に入れる所を見つけた。
226,vocs_over_over_monastery1_post_n05,vocs_monastery1_post_n05_jp,WARRIOR,"That sounds promising. Speaking of whom, where is Yuki-chan?",看来有戏。话说，友希小妹去哪了？,頼もしいな。そういえば、雪殿はどこにおるのだ？
226,vocs_over_over_monastery1_post_n06,vocs_monastery1_post_n06_jp,TRAPPER,"Here, master samurai!",我来了，武士大哥。,はい、お侍さん！
226,vocs_over_over_monastery1_post_n07,vocs_monastery1_post_n07_jp,ALCHEMIST,"Hehe, I must say Mugen, your young companion is full of curiosity.",哈哈，无限啊，你的这个小伙伴，好奇心可不小哇。,へっへ、武源よ、若い衆は実に好奇心があるのう。
226,vocs_over_over_monastery1_post_n08,vocs_monastery1_post_n08_jp,NINJA,"Good to see you, old man.",很高兴再见到你，老爷子。,会えて嬉しいよ、爺さん。
226,vocs_over_over_monastery1_post_n09,vocs_monastery1_post_n09_jp,ALCHEMIST,"Ah, the young Shinobi. Hayato, is it? Good to see you too.",哦，这小伙不是忍者隼人么？我也很高兴见到你。,おお、若い忍の隼人じゃの。ワシも嬉しいぞい。
