lvl,sec,voen,vojp,s,en,cn,jp
17,1,vocs_over_over_bambooforest_briefing_n00,vocs_bambooforest_briefing_n00_jp,GEISHA,"What do you see, Takuma-sama?",琢磨大师，你看到什么？,巧磨様、何が見えます？
17,1,vocs_over_over_bambooforest_briefing_n01,vocs_bambooforest_briefing_n01_jp,ALCHEMIST,"Fire, at the heart of the camp.",营地正中有篝火。,火だ、野営の中心地じゃ。
17,1,vocs_over_over_bambooforest_briefing_n02,vocs_bambooforest_briefing_n02_jp,ALCHEMIST,I'd reckon that's where Kage-sama is.,影大人想必就在那里。,そこにカゲサマもいるはず。
17,1,vocs_over_over_bambooforest_briefing_n03,vocs_bambooforest_briefing_n03_jp,GEISHA,I agree. Are the others in position?,同意。其他人是否已就位？,同感よ。皆も位置に着いたかしら？
17,1,vocs_over_over_bambooforest_briefing_n04,vocs_bambooforest_briefing_n04_jp,TRAPPER,Why did Aiko-san and Takuma-san go another way?,为什么爱子姐和琢磨师父要走那一边？,どうして愛琥さんと巧磨先生は別の方へ？
17,1,vocs_over_over_bambooforest_briefing_n05,vocs_bambooforest_briefing_n05_jp,NINJA,"We'll attack from two sides, circle in on him, then take him out.",这次要兵分两路将其包围，然后把他干掉。,両方から攻めて、囲い出して奴を倒すのさ。
17,1,vocs_over_over_bambooforest_briefing_n06,vocs_bambooforest_briefing_n06_jp,WARRIOR,"Remember that the Shogun wants Kage-sama delivered. We need to take him with us, whether he is alive or dead.",切记将军的命令，无论生死，我们都必须把影大人带回去。,上様はカゲサマを連れて来いとおっしゃった。生死を問わず、連れて帰るのだ。
17,1,vocs_over_over_bambooforest_briefing_n07,vocs_bambooforest_briefing_n07_jp,NINJA,Dead's fine with me. Saves us trouble on the road.,杀了他更好，省得路上麻烦。,死体の方がいい。道中で面倒事にならんだろう。
17,1,vocs_over_over_bambooforest_briefing_n08,vocs_bambooforest_briefing_n08_jp,WARRIOR,Once we have incapacitated him we will carry him back here and leave this forest with our prize.,一旦将他拿下，要迅速带回这里，离开竹林确保胜利。,まず、奴を捕らえたらここへ戻し、その勝利と共に森を出る。
17,1,vocs_over_over_bambooforest_briefing_n09,vocs_bambooforest_briefing_n09_jp,TRAPPER,"Sneak inside, catch the shadow, sneak back out.",潜伏进去，抓住影子，悄悄出来。,忍び込んで、カゲを捕まえて、バレずに出る。
17,1,vocs_over_over_bambooforest_briefing_n10,vocs_bambooforest_briefing_n10_jp,NINJA,"Teh, sound simple. Alright, let's finish this.",哼，很简单嘛。好了，开始行动吧。,ふん、簡単だな。さあ、始めよう。
17,2,vocs_over_over_bambooforest_force_n00,vocs_bambooforest_force_n00_jp,NINJA,What's this. Almost looks challenging …,前面什么情况。还算有点难度……,おっと、こいつは…。そう簡単にはいかなさそうだな。
17,2,vocs_over_over_bambooforest_force_n01,vocs_bambooforest_force_n01_jp,TRAPPER,"Oh, a challenge!",啊，前面好像有点难度。,わぁ、やりがいありそっ！
17,2,vocs_over_over_bambooforest_force_n02,vocs_bambooforest_force_n02_jp,WARRIOR,Ha! These men do not know what they're up against.,哼！这些人还不知道他们的对手是谁。,ハッ！この者達は誰と敵対してるのかわかっておらぬな。
17,3,vocs_over_over_bambooforest_workers_n00,vocs_bambooforest_workers_n00_jp,NINJA,Workers … slaves maybe?,有人在干活……或许是奴隶？,働かされている…奴隷か？
17,3,vocs_over_over_bambooforest_workers_n01,vocs_bambooforest_workers_n01_jp,TRAPPER,Look! They don't have weapons …,看！这些人没有武器……,見て！武器は持ってないよ…。
17,3,vocs_over_over_bambooforest_workers_n02,vocs_bambooforest_workers_n02_jp,WARRIOR,"Civilians, either enslaved or loyal to the enemy. We will deal with them later.",是平民，要么是奴隶要么是敌人同党。稍后再处理他们。,町人だ。捕らえられたか、敵に忠誠を誓ったのであろう。後でどうにかしてやろう。
17,4,vo_gothic_gothic_bambooforest_workers1_n00,vo_bambooforest_workers1_n00_jp,ENEMY,"That's it, carry on.",这就对了，继续干。,それだ、運べ。
17,4,vo_gothic_gothic_bambooforest_workers1_n01,vo_bambooforest_workers1_n01_jp,STATIC,No slacking!,别偷懒！,怠けるな。
17,4,vo_gothic_gothic_bambooforest_workers1_n02,vo_bambooforest_workers1_n02_jp,ENEMY,We're not done yet.,活还没干完呢。,まだ終わらんぞ。
17,4,vo_gothic_gothic_bambooforest_workers1_n03,vo_bambooforest_workers1_n03_jp,STATIC,"Come on, faster.",快，快点。,早くやれ。
17,4,vo_gothic_gothic_bambooforest_workers1_n04,vo_bambooforest_workers1_n04_jp,ENEMY,Kage-sama wants these walkways finished.,影大人有令，赶紧铺好这些走道。,カゲサマは早く終わるのを望まれている。
17,4,vo_gothic_gothic_bambooforest_workers1_n05,vo_bambooforest_workers1_n05_jp,STATIC,You know what happens when Kage-sama is displeased.,你们知道影大人生气的后果。,カゲサマがご機嫌を損なわれたらどうなるか知っているだろう。
17,4,vo_gothic_gothic_bambooforest_workers1_n06,vo_bambooforest_workers1_n06_jp,CIVILIAN M,Hrgn …,哎……,はあぁ…。
17,4,vo_gothic_gothic_bambooforest_workers1_n07,vo_bambooforest_workers1_n07_jp,CIVILIAN M,Ugh … heavy …,呃……好重……,うぅ…おもっ…。
17,4,vo_gothic_gothic_bambooforest_workers1_n08,vo_bambooforest_workers1_n08_jp,CIVILIAN F,... my back.,……我的腰。,…腰が。
17,5,vo_gothic_gothic_bambooforest_workers2_n00,vo_bambooforest_workers2_n00_jp,ENEMY,You're too slow.,动作太慢了。,遅すぎるぞ。
17,5,vo_gothic_gothic_bambooforest_workers2_n01,vo_bambooforest_workers2_n01_jp,STATIC,This is taking forever.,怎么这么久都没做完。,日が暮れるぞ。
17,5,vo_gothic_gothic_bambooforest_workers2_n02,vo_bambooforest_workers2_n02_jp,ENEMY,You call that a swing?,有你那么砍竹子的吗？,それで急いでるのか？
17,5,vo_gothic_gothic_bambooforest_workers2_n03,vo_bambooforest_workers2_n03_jp,STATIC,"Faster, damn it.",再快点，懒驴。,早くしろ、このっ。
17,5,vo_gothic_gothic_bambooforest_workers2_n04,vo_bambooforest_workers2_n04_jp,ENEMY,Kage-sama won't be pleased.,别惹影大人发火。,カゲサマがお喜びになられないぞ。
17,5,vo_gothic_gothic_bambooforest_workers2_n05,vo_bambooforest_workers2_n05_jp,STATIC,Those who don't pull their weight will be executed. Kage-sama's orders.,影大人有令，谁敢偷懒立即处死。,仕事をこなせぬ者は処刑だ。カゲサマのご命令だ。
17,5,vo_gothic_gothic_bambooforest_workers2_n06,vo_bambooforest_workers2_n06_jp,CIVILIAN M,... So tired.,……好累。,…疲れた。
17,5,vo_gothic_gothic_bambooforest_workers2_n07,vo_bambooforest_workers2_n07_jp,CIVILIAN M,"Agh, my back.",啊，我的腰。,あぁ、腰が。
17,5,vo_gothic_gothic_bambooforest_workers2_n08,vo_bambooforest_workers2_n08_jp,CIVILIAN F,Forgive us …,饶了我们吧……,どうかお許しを…。
17,6,vocs_over_over_bambooforest_camp_n00,vocs_bambooforest_camp_n00_jp,NINJA,Not bad. Small. Well hidden. No wonder no one ever found it.,还不赖，营地又小又隐蔽。难怪没人能发现这里。,悪くない。小規模で、うまく隠れていた。これは見つからないはずだ。
17,6,vocs_over_over_bambooforest_camp_n01,vocs_bambooforest_camp_n01_jp,WARRIOR,"The camp may be small, but it's well defended.",这片营地虽小，但防备很足。,野営の規模は小さいが、しかし防衛にも優れている。
17,6,vocs_over_over_bambooforest_camp_n02,vocs_bambooforest_camp_n02_jp,TRAPPER,This place … it's like a hidden Shinobi village!,这里真隐秘……就像忍者村一样！,この場所…忍の里みたい！
17,6,vocs_over_over_bambooforest_camp_n03,vocs_bambooforest_camp_n03_jp,NINJA,"Teh … trust me: if it were, we'd be dead by now.",哼…如果真是忍者村，我们早就死透了。,ハッ、もしそうだったら俺たちゃいま頃オダブツだぜ。
17,7,vocs_over_over_bambooforest_nemesis_n00,vocs_bambooforest_nemesis_n00_jp,NINJA,That man in the centre ... guess that's Kage-sama.,中间那位……应该就是影大人。,真ん中にいるのが、カゲサマであろう。
17,7,vocs_over_over_bambooforest_nemesis_n01,vocs_bambooforest_nemesis_n01_jp,TRAPPER,Look! The spider in his web! Kage-sama!,看啊！蜘蛛就坐在网中央！是影大人！,みて！巣に蜘蛛がいる！カゲサマ！
