sec,voen,vojp,s,en,cn,jp
128,vocs_over_over_firstcastle_post_n05,vocs_firstcastle_post_n05_jp,WARRIOR,"Your last attack showed spirit, but you both neglected your defence. A samurai must have patience, for its lack will cost him dearly.",你们刚才的进攻充满了斗志，但却都忽视了防守。真正的武士必须学会耐心，否则会付出惨痛代价。,うむ、最後の一撃には魂を感じましたが、お二方とも守りがおろそかですぞ。侍には忍耐が必要です。さもなければ命を落とします。
128,vocs_over_over_firstcastle_post_n06,vocs_firstcastle_post_n06_jp,SHOGUNSON,"I understand, Mugen-sensei.",我明白了，无限老师。,わかりました、武源先生！
128,vocs_over_over_firstcastle_post_n07,vocs_firstcastle_post_n07_jp,BROGUNSON,Even together we are no match for you. Does our sensei enjoy beating us!,即使我们联手也不是你的对手。老师你是不是很喜欢这样虐我们啊！,一緒に戦っても、全く敵わぬ。先生は我らを倒すのを楽しんでいる！
128,,vocs_firstcastle_post_n07a_jp,BROGUNSON,This is pointless! Even together we could not win! Does our sensei enjoy beating us?,说这些有什么用！即使我们联手也赢不了，老师你是不是很喜欢这样虐我们啊？,こんなのってないよ！一緒に戦っても勝てないなんて！先生は我らを倒すのを楽しんでいるのか！
128,vocs_over_over_firstcastle_post_n08,vocs_firstcastle_post_n08_jp,WARRIOR,"I enjoy your progress, Masaru-sama. You and Ryūnosuke-sama are your fathers' children. Their talent lies within you.",我只会因为看到你们的进步而高兴，真申大人。你和龙之介大人都是将门之后，我相信虎父无犬子。,お二方の成長を楽しんでいるのです、勝様。あなたと、龍之介様は上様たちの息子ですから。その才覚は内に眠っています。
128,vocs_over_over_firstcastle_post_n09,vocs_firstcastle_post_n09_jp,SHOGUNSON,"And yet, you defeated us both with single strike.",然而，你一击就打败我俩了。,しかし、先生は一刀で私たちを倒しました。
128,vocs_over_over_firstcastle_post_n10,vocs_firstcastle_post_n10_jp,WARRIOR,Patience. I know the day will come when the two of you will force me to my knees.,要有耐心。我知道终有一天，你们两个会超越我的。,忍耐です。いつかお二方とも、拙者に一太刀あびせられる日が来ます。
128,vocs_over_over_firstcastle_post_n11,vocs_firstcastle_post_n11_jp,BROGUNSON,I look forward to that day …,我期待那天的到来……,楽しみにしております…。
128,vocs_over_over_firstcastle_post_n12,vocs_firstcastle_post_n12_jp,CIVILIAN M,"Apologies, my lords. The Shogun has requested Mugen-sama's presence.",恕小的无礼。将军大人令我来传唤无限大人。,失礼します、武源様。将軍様が武源様をお呼びです。
128,vocs_over_over_firstcastle_post_n13,vocs_firstcastle_post_n13_jp,WARRIOR,"I will come at once. Forgive me, my lords.",我马上就去。容我先行告退。,すぐに参る。失礼致します。
128,vocs_over_over_firstcastle_post_n14,vocs_firstcastle_post_n14_jp,SHOGUNSON,"Of course. Please, give my regards to my father.",好的。请代我向我父亲问安。,はい、父上へよろしく頼みます。
129,vocs_over_over_firstcastle_post_n15,vocs_firstcastle_post_n15_jp,BROGUN,Brother. If you give me command of the Shogunate troops I will hunt down Kage-sama wherever a person speaks his name.,哥哥，如果你把幕府军指挥权交给我，我保证以后大街上不会再有人敢提影大人这三个字。,兄上。私に幕府軍の指揮を取らせてください。カゲサマであろうが、その名を騙る者であろうが、捕らえましょう。
129,vocs_over_over_firstcastle_post_n16,vocs_firstcastle_post_n16_jp,SHOGUN,"I will, if the need arises for such drastic measures. For now, you will bow to the wisdom of your Shogun. Let us speak again tomorrow.",假如真到需要采取这种极端措施的地步，我会的。但现在你要相信哥哥作为将军的智慧。我们明天再谈吧。,ああ、その必要性が現れればな。今は、己の将軍の知恵の前に頭下げておれ。また、明日にでも話そう。
129,vocs_over_over_firstcastle_post_n17,vocs_firstcastle_post_n17_jp,BROGUN,Of course brother. I will await your messenger.,好的，哥哥。我等你传唤。,もちろんです、兄上。使いからの連絡をお待ち致します。
129,vocs_over_over_firstcastle_post_n18,vocs_firstcastle_post_n18_jp,BROGUN,Mugen-san.,无限先生。,武源さん！
