lvl,sec,voen,vojp,s,en,cn,jp
10,195,vocs_over_over_mansion_post_n00,vocs_mansion_post_n00_jp,NARRATOR,"Lord Yabu's death was a small victory. The Shogun took possession of the old temple. Kage-sama had lost an ally, but his revenge followed soon.",除掉薮大名可算旗开得胜，将军也随即控制了生产武器的古庙。影大人损失了一位盟友，但他很快便展开复仇。,藪大名の死は小さな勝利であった。将軍はこの古い寺院を手に入れた。カゲサマは同盟を失ったものの、復讐は続いた。
10,195,vocs_over_over_mansion_post_n01,vocs_mansion_post_n01_jp,NARRATOR,"Having already gained more than enough weapons, he was well prepared to openly attack the Shogun.",他已获得充足的武器装备，准备公然攻击将军。,すでに十分な武器を手に入れ、彼は将軍への攻撃に備えていた。
10,195,vocs_over_over_mansion_post_n02,vocs_mansion_post_n02_jp,NARRATOR,"On Kage-sama's orders, the ruthless General Okkoto spread fear throughout the country, raiding village after village without mercy.",影大人派出手下乙事大将，一个接一个地无情洗劫各地村庄，散播恐怖。,カゲサマのもと、乙事大将は次々と無慈悲に村を襲撃していた。
10,195,vocs_over_over_mansion_post_n03,vocs_mansion_post_n03_jp,NARRATOR,"As they continued, Okkoto and his men grew bolder with every attack. The Shogun, fearing an assault on Edo Castle, orders Mugen to deliver his son Ryūnosuke to a secret location …",随着暴行继续，乙事及其手下越发肆无忌惮。将军担心儿子在江户城遭到暗杀，便命令无限将龙之介护送到一个秘密地点……,彼らは回を重ねる毎に傲慢になり、その一方で将軍は江戸城での暗殺を恐れ、龍之介を密かに避難させる命令を、武源に出すのであった。
10,196,vocs_over_over_mansion_post_n04,vocs_mansion_post_n04_jp,SHOGUN,Your handling of the traitor Yabu was careless. It only made our enemy lash out with greater force.,之前对叛徒薮大名的处理也太大意了。才导致敌人的反叛行动不降反增。,反逆者藪に対して不注意であったな。さらなる敵の強襲を増やしただけではないか。
10,196,vocs_over_over_mansion_post_n05,vocs_mansion_post_n05_jp,WARRIOR,"We thought him to be Kage-sama himself. It was my mistake, and I take full responsibility.",我们本以为他就是影大人。是在下失职，在下愿负全部责任。,藪大名がカゲサマかと考えました。しかし、それは間違いで、全て私の責任でございます。
10,196,vocs_over_over_mansion_post_n06,vocs_mansion_post_n06_jp,SHOGUN,My brother is currently fighting the rebels with the Shogunate army. I put you and your men under his command.,舍弟正率领幕府军和叛军交战。我想把你们几个交给他指挥。,弟が今、幕府軍を率いて戦っておる。そなたとその部下を弟の指揮のもとに置こう。
10,196,vocs_over_over_mansion_post_n07,vocs_mansion_post_n07_jp,WARRIOR,As you wish. Serving your brother is serving the Shogunate.,遵命。效忠您的弟弟也就是效忠幕府。,はは、仰せのままに。昇様に仕えるのは幕府への奉仕に違いありませぬ。
10,196,vocs_over_over_mansion_post_n08,vocs_mansion_post_n08_jp,SHOGUN,"Help him destroy this rebellion, and we might yet contain the damage Kage-sama has done.",协助他消灭叛军，同时也许能让影大人的暴行有所收敛。,弟を助け、この反乱を終わらせよ。まだカゲサマに損害が残っているかも知れぬ。
10,196,vocs_over_over_mansion_post_n09,vocs_mansion_post_n09_jp,SHOGUNSON,How long do you think it'll take to defeat the rebels Mugen-sensei?,无限老师，你觉得消灭叛军需要多久？,反乱を鎮めるまで、どれほどかかるのであろうか、武源先生。
10,196,vocs_over_over_mansion_post_n10,vocs_mansion_post_n10_jp,WARRIOR,"I do not know, my lord.",恕在下不知，大人。,わかりませぬ。
10,196,vocs_over_over_mansion_post_n11,vocs_mansion_post_n11_jp,SHOGUN,"Indeed. And should the city fall under attack, I will feel safe knowing you are far away from harm.",的确。不过只要你能远离这里，即便敌人兵临城下，我也能安心。,確かに、もし町が攻撃に遭えばお前が安全にしてくれた方が、安心だ。
10,196,vocs_over_over_mansion_post_n12,vocs_mansion_post_n12_jp,SHOGUNSON,Father.,父亲。,父上…
10,196,vocs_over_over_mansion_post_n13,vocs_mansion_post_n13_jp,SHOGUN,Go prepare for the journey. Mugen will join you shortly.,去收拾一下准备出发吧。无限很快会和你会合的。,旅支度をせよ。武源がすぐに向かう。
10,196,vocs_over_over_mansion_post_n14,vocs_mansion_post_n14_jp,SHOGUNSON,Yes father. Sensei.,遵命，父亲...老师，我先行告退。,わかりました、父上。先生。
10,196,vocs_over_over_mansion_post_n15,vocs_mansion_post_n15_jp,SHOGUN,"My only son, Mugen. Will you deliver him safely?",我只有这一个儿子，无限。能否将其安全送到？,たった一人の息子だ。安全な所へ連れて行ってくれるな？
10,196,vocs_over_over_mansion_post_n16,vocs_mansion_post_n16_jp,WARRIOR,I will protect him with my life.,在下以性命担保。,命をかけてお守り致します。
10,196,,vocs_mansion_post_n16a_jp,WARRIOR,I would die a thousand deaths before I let any harm come to him.,在下就算粉身碎骨也要保少主毫发无伤。,この命幾千と捨てることになろうとも守り抜きます。
10,196,vocs_over_over_mansion_post_n17,vocs_mansion_post_n17_jp,SHOGUN,"I know you will. Now leave, and join my brother in his war camp once you are done.",我相信你。去吧，完成任务之后就去舍弟的营地报到。,信じておるぞ。では行け。そして、それが済んだら、弟の野営に向かってくれ。
10,196,,vocs_mansion_post_n17a_jp,SHOGUN,"As would be your duty. Now leave, and join my brother in his warcamp once you are done.",你一向尽职尽责。去吧，完成任务之后就去舍弟的营地报到。,さぁ、責務を果たしに行くがよい。そして、それが済んだら、弟の野営に向こうてくれ。
10,196,vocs_over_over_mansion_post_n18,vocs_mansion_post_n18_jp,WARRIOR,My Shogun.,容我告退，将军大人。,仰せのままに。
10,197,vocs_over_over_mansion_post_n19,vocs_mansion_post_n19_jp,WARRIOR,"Lord Noboru, you wished to speak to us.",昇大人，您召见我们。,昇様、ただいま参りました！
10,197,vocs_over_over_mansion_post_n20,vocs_mansion_post_n20_jp,BROGUN,"Mugen-san. Our scouts have returned. They report rebel activity in the villages of Hida, and Suganuma.",无限阁下，侦察兵带回消息说，飞騨村和菅沼村有叛军活动。,武源殿！我が密偵が戻った。反乱は飛騨の村、菅沼で起きているとの報告だ。
10,197,vocs_over_over_mansion_post_n21,vocs_mansion_post_n21_jp,WARRIOR,Would you like us to investigate?,您要派我们前去调查吗？,調査を致せばよろしいでしょうか？
10,197,vocs_over_over_mansion_post_n22,vocs_mansion_post_n22_jp,BROGUN,I would. We must use every opportunity to learn Okkoto's plans.,是的。必须利用一切机会查清乙事的计划。,左様だ。何としてでも、乙事の計画を知る必要がある。
