sec,voen,vojp,s,en,cn,jp
312,vocs_over_over_shoguncamp_briefing_n00,vocs_shoguncamp_briefing_n00_jp,TRAPPER,Wow! So many tents! It's like a city!,哇！这么多帐篷！连起来就像座城市！,わぁ！天幕がたくさん！町みたいね！
312,vocs_over_over_shoguncamp_briefing_n01,vocs_shoguncamp_briefing_n01_jp,NINJA,Hmm … full of soldiers with orders to shoot us on sight.,嗯……到处都是士兵。他们都已收到命令，对我们要格杀勿论了吧。,うーむ…兵ばかりだ。俺たちを見つけたら殺すように命じられてるだろう。
312,vocs_over_over_shoguncamp_briefing_n02,vocs_shoguncamp_briefing_n02_jp,GEISHA,"Yes, giving ourselves up would be pointless. Best to not draw any attention.",是的，到时候我们就算投降也没有用。注意不要引起任何警觉。,ええ、身をさらしても仕方ないわね、注意を引かないようにするべきね。
312,vocs_over_over_shoguncamp_briefing_n03,vocs_shoguncamp_briefing_n03_jp,NINJA,The Shogun's tent is at the very top. No surprise there.,不出所料，将军的营帐在最顶端。,上様の天幕は一番上か。まあ当然か。
312,vocs_over_over_shoguncamp_briefing_n04,vocs_shoguncamp_briefing_n04_jp,GEISHA,This entrance is heavily guarded.,而且入口有重兵把守。,入り口は警備が厳しいわ。
312,vocs_over_over_shoguncamp_briefing_n05,vocs_shoguncamp_briefing_n05_jp,GEISHA,We need a strategy to get inside.,看来得有好的战略才能进得去。,中に入る為の戦略が必要ね。
312,vocs_over_over_shoguncamp_briefing_n06,vocs_shoguncamp_briefing_n06_jp,ALCHEMIST,The guards here seem to enjoy their sake.,这里的守卫似乎很喜欢喝清酒。 ,ここの護衛は酒を楽しんでるようじゃの。
312,vocs_over_over_shoguncamp_briefing_n07,vocs_shoguncamp_briefing_n07_jp,ALCHEMIST,I know a recipe that will help them to sleep.,我知道有个配方可以让他们入睡。,奴らを眠らせる薬はあるぞい。
312,vocs_over_over_shoguncamp_briefing_n08,vocs_shoguncamp_briefing_n08_jp,ALCHEMIST,I still have some ingredients left. All I need is a place to brew.,我这儿还剩了些材料。只要有个配药台就能把安眠药造出来。,まだ材が残っておるはずじゃ。入れる場所があればいけるの。
312,vocs_over_over_shoguncamp_briefing_n09,vocs_shoguncamp_briefing_n09_jp,GEISHA,I like the idea.,这个办法不错。,いい作戦ね。
312,vocs_over_over_shoguncamp_briefing_n10,vocs_shoguncamp_briefing_n10_jp,GEISHA,I could pour your brew into the sake barrel. A disguise would help with this.,我可以乔装混进军营里，然后把你做的安眠药倒进酒桶里。,私がそれを酒の樽にいれるわ。変装すればうまくいくとおもうわ。
312,vocs_over_over_shoguncamp_briefing_n11,vocs_shoguncamp_briefing_n11_jp,GEISHA,There must be a kimono with the Shogun's entourage.,将军的随从那边肯定有和服。,将軍の側近の着物があるはずだわ。
312,vocs_over_over_shoguncamp_briefing_n12,vocs_shoguncamp_briefing_n12_jp,GEISHA,I could also look for a servant's uniform at that small temple.,小庙那里也有佣人的衣服。,あとは使用人の服も寺で探せそうね。
312,vocs_over_over_shoguncamp_briefing_n13,vocs_shoguncamp_briefing_n13_jp,TRAPPER,I see wagons! We could hide inside. ,我看见马车了！我们可以藏在里面。 ,馬車がある！この中に隠れられそう。
312,vocs_over_over_shoguncamp_briefing_n14,vocs_shoguncamp_briefing_n14_jp,TRAPPER,Maybe they'll carry us to the Shogun. Might be fun yes?,也许马车就能带我们到将军那儿。好像很好玩。,きっと将軍の所へ連れてってくれる。面白そうかも。
312,vocs_over_over_shoguncamp_briefing_n15,vocs_shoguncamp_briefing_n15_jp,NINJA,Indeed … if they don't find us.,的确……只要不被发现的话。,確かに…これなら見つからないかもな。
312,vocs_over_over_shoguncamp_briefing_n16,vocs_shoguncamp_briefing_n16_jp,GEISHA,"We have two options then. Either we drug the sake and put the guards to sleep, or we find a wagon that goes to the Shogun's tent.",也就是说，目前有两种选择。一种是把安眠药倒进酒里让士兵入睡，另一种是混入前往将军营帐的马车上。,二つの選択肢があるわね。酒に薬を入れて眠らせるか、馬車を見つけて将軍の所へ向かうかどちらかね。
312,vocs_over_over_shoguncamp_briefing_n17,vocs_shoguncamp_briefing_n17_jp,NINJA,It won't be easy either way. Good thing we're up for a challenge.,两种办法都不简单，好在咱们向来天不怕地不怕。,どちらも簡単じゃないな。だが、いつも以上に気合入ってるぜ。
312,vocs_over_over_shoguncamp_briefing_n18,vocs_shoguncamp_briefing_n18_jp,NINJA,I'll carry our guest.,我负责背咱们的“客人”吧。,俺が客を連れてく。
312,vocs_over_over_shoguncamp_briefing_n19,vocs_shoguncamp_briefing_n19_jp,GEISHA,I agree. Let us begin.,好的，开始行动吧。,いいわ。始めましょう。
313,vocs_over_over_shoguncamp_briefing1a_n00,vocs_shoguncamp_briefing1a_n00_jp,TRAPPER,Wow! So many tents! It's like a city!,哇！这么多帐篷！连起来就像座城市！,わぁ！天幕がたくさん！町みたいね！
313,vocs_over_over_shoguncamp_briefing1a_n01,vocs_shoguncamp_briefing1a_n01_jp,NINJA,Mhm … full of soldiers with orders to shoot us on sight.,嗯……到处都是士兵。他们都已收到命令，对我们要格杀勿论了吧。,うーむ…兵ばかりだ。俺たちを見つけたら殺すように命じられてるだろう。
313,vocs_over_over_shoguncamp_briefing1a_n02,vocs_shoguncamp_briefing1a_n02_jp,GEISHA,"Yes, giving ourselves up would be pointless. Best to not draw any attention.",是的，到时候我们就算投降也没有用。注意不要引起任何警觉。,ええ、身をさらしても仕方ないわね、注意を引かないようにするべきね。
313,vocs_over_over_shoguncamp_briefing1a_n03,vocs_shoguncamp_briefing1a_n03_jp,NINJA,The Shogun's tent is at the very top. No surprise there then.,不出所料，将军的营帐在最顶端。,上様の天幕は一番上か。そこにいるのも当然か。
313,vocs_over_over_shoguncamp_briefing1a_n04,vocs_shoguncamp_briefing1a_n04_jp,GEISHA,This entrance is heavily guarded.,而且入口有重兵把守。,入り口は警備が厳しいわ。
313,vocs_over_over_shoguncamp_briefing1a_n05,vocs_shoguncamp_briefing1a_n05_jp,TRAPPER,I see wagons! ,我看见马车了！ ,馬車があるわ！ 
313,vocs_over_over_shoguncamp_briefing1a_n06,vocs_shoguncamp_briefing1a_n06_jp,TRAPPER,We could hide inside. Let them carry us through.,可以藏在马车里面，让马车带我们过去。,その中に隠れられそう。きっと運んでもらいましょう。
313,vocs_over_over_shoguncamp_briefing1a_n07,vocs_shoguncamp_briefing1a_n07_jp,ALCHEMIST,"Hehe, a clever plan, though it pays to have a second option.",呵呵呵，此法甚妙，但我还有一计。,ほっほ、賢い作戦じゃの、じゃが、もう一つ作戦はある。
313,vocs_over_over_shoguncamp_briefing1a_n08,vocs_shoguncamp_briefing1a_n08_jp,ALCHEMIST,The guards here seem to enjoy their sake. ,这里的守卫似乎很喜欢喝清酒。 ,ここの護衛は酒を楽しんでるようじゃの。
313,vocs_over_over_shoguncamp_briefing1a_n09,vocs_shoguncamp_briefing1a_n09_jp,ALCHEMIST,I know a recipe that will put them straight to sleep.,我知道有个配方可以让他们入睡。,奴らを眠らせる薬はあるぞい。
313,vocs_over_over_shoguncamp_briefing1a_n10,vocs_shoguncamp_briefing1a_n10_jp,ALCHEMIST,I still have some ingredients left. All I need is a place to brew.,我这儿还剩了些材料。只要有个配药台就能把安眠药造出来。,まだ材が残っておるはずじゃ。あとはそれを入れる機会がじゃな。
313,vocs_over_over_shoguncamp_briefing1a_n11,vocs_shoguncamp_briefing1a_n11_jp,GEISHA,I like the idea.,这个办法不错。,いい作戦ね。
313,vocs_over_over_shoguncamp_briefing1a_n12,vocs_shoguncamp_briefing1a_n12_jp,GEISHA,I could pour your brew into the sake barrel. A disguise would help with this.,我可以乔装混进军营里，然后把你做的安眠药倒进酒桶里。,私がそれを酒の樽にいれるわ。変装すればうまくいくとおもうわ。
313,vocs_over_over_shoguncamp_briefing1a_n13,vocs_shoguncamp_briefing1a_n13_jp,GEISHA,There are multiple opportunities to acquire one.,能入手伪装的地方不止一处。,ひとつを獲る為、複数の好機がある。
