sec,voen,vojp,s,en,cn,jp
279,vocs_over_over_ricefields_briefing_n00,vocs_ricefields_briefing_n00_jp,ALCHEMIST,"Hmm, will death take me now? Perhaps it has been long enough ... ",嗯…看来我气数已尽…… 这辈子也算活得够长了。,うーむ、死がワシをここへ呼び寄せるか？もう十分生きたということかの…。
279,vocs_over_over_ricefields_briefing_n01,vocs_ricefields_briefing_n01_jp,TRAPPER,Psst. Takuma-sama!,喂，琢磨师父！,ねえ、巧磨先生！
279,vocs_over_over_ricefields_briefing_n02,vocs_ricefields_briefing_n02_jp,ALCHEMIST,Ah! … Yuki-chan! … it's you child. Are you alone?,啊！……友希姑娘！怎么到这里来了，就你一个人吗？,おぉ！…雪ちゃん！…お主一人か？
279,vocs_over_over_ricefields_briefing_n03,vocs_ricefields_briefing_n03_jp,TRAPPER,Yes. I followed Kuma here. The others couldn't come. What happened?,是的，小熊带我过来的。其他人来不了。这里发生了什么？,はい、クマに着いてきたの。他の人は来られなかったけど…。何があったの？
279,vocs_over_over_ricefields_briefing_n04,vocs_ricefields_briefing_n04_jp,ALCHEMIST,Darkness and horror. The rebels slaughtered the farmers. Most of them are dead.,太惨无人道了。叛军血洗了村子，大部分人都死了。,暗黒と恐怖じゃ、反乱者は農民を殺傷しておる。ほとんどもう死んでしもうた。
279,vocs_over_over_ricefields_briefing_n05,vocs_ricefields_briefing_n05_jp,ALCHEMIST,"Mugen tried to help. Now he is a prisoner himself, being interrogated and, most likely, soon executed.",无限想去救他们，反而自身难保。敌人正在审问他，可能马上就要被处决。,武源は助けようとはしたのじゃが、投獄されてしもうた。尋問されて、おそらくすぐに処刑されるじゃろう。
279,vocs_over_over_ricefields_briefing_n06,vocs_ricefields_briefing_n06_jp,TRAPPER,No. We'll save him …,怎么会…快去救他……,そんな、助けないと…。
279,vocs_over_over_ricefields_briefing_n07,vocs_ricefields_briefing_n07_jp,ALCHEMIST,It is impossible child. We are hardly a force to be reckoned with.,不可能的，孩子。敌我力量太过悬殊。,無理じゃよ、雪ちゃん。そのような力はありゃせん。
279,vocs_over_over_ricefields_briefing_n08,vocs_ricefields_briefing_n08_jp,TRAPPER,We have to try! He's our friend! You don't leave friends behind!,不试试怎么知道！他是我们的同伴啊！怎么能见死不救！,やってみなきゃ！だって仲間よ…。見捨てるなんてできない！
279,vocs_over_over_ricefields_briefing_n09,vocs_ricefields_briefing_n09_jp,ALCHEMIST,"Such a young mind … very well, Yuki-chan. If we shall die, we might as well do so with purpose. Lead the way.",果然是年轻人……好吧，友希姑娘。就算死，也要死得其所。你来带路吧。,若い心じゃのぅ…よし、わかったわい雪ちゃん！もし助けられなければ、目的もまた死ぬ、進む他ないということじゃのぅ…。
