sec,voen,vojp,s,en,cn,jp
198,vocs_over_over_monastery1_briefing_n00,vocs_monastery1_briefing_n00_jp,WARRIOR,Hmm ... is there a chance I got here first? Did she not get my message?,嗯……怎么没人？难道她没收到我的消息？,うーむ…私が先に着いてしまったか？もしかして連絡が届いていないのだろうか？
198,vocs_over_over_monastery1_briefing_n01,vocs_monastery1_briefing_n01_jp,GEISHA,"Konnichiwa, Mugen-san. ",午安，无限大哥。 ,ごきげんよう、武源様。
198,vocs_over_over_monastery1_briefing_n02,vocs_monastery1_briefing_n02_jp,WARRIOR,"Ah, Aiko-san. Your beauty is most welcome on this desolate mountain.",哦喔，爱子小姐！在这荒山野岭还能一睹您的芳容，真是三生有幸。,おぉ、愛琥殿！この人里離れた山の中、そなたのような美女にお目にかかれるとはなんたる幸福か！
198,vocs_over_over_monastery1_briefing_n03,vocs_monastery1_briefing_n03_jp,GEISHA,Mugen-san! Have we come all this way for flattery?,无限大哥。跑到这种荒郊野外，就为了来献殷勤的吗？,あら、武源様ったら！そんなこと言うためにここまでいらしたのかしら？
198,vocs_over_over_monastery1_briefing_n04,vocs_monastery1_briefing_n04_jp,WARRIOR,I wish it were so. You seem to have arrived before me. What do you gather from this place?,我倒希望如此。看来你比我先到。有没有探到什么情报？,そうだと良かったのですが。拙者より先に来ていたようですな。何か気づいたことは？
198,vocs_over_over_monastery1_briefing_n05,vocs_monastery1_briefing_n05_jp,GEISHA,The guards are talkative. I heard them speak of a captive held near the waterfalls.,这边的守卫都很健谈。我听他们在说有个俘虏关押在瀑布那边。,おしゃべりな見張りがいるわ。滝の側に捕らえ人がいると。
198,vocs_over_over_monastery1_briefing_n06,vocs_monastery1_briefing_n06_jp,WARRIOR,That must be Takuma-san! How shall we proceed?,肯定是琢磨大师！你有什么计划？,巧磨殿に違いない！いかがしましょうか？
198,vocs_over_over_monastery1_briefing_n07,vocs_monastery1_briefing_n07_jp,GEISHA,"There are a number of female temple servants. If we find a match, I can take her clothes and assume her identity.",寺庙里有不少女佣。如能拿到合适的衣服，我可以乔装成女佣。,寺に仕える女たちがいるわ。服を頂いてなりすましましょう。
198,vocs_over_over_monastery1_briefing_n08,vocs_monastery1_briefing_n08_jp,GEISHA,It would allow me to move freely and ring the bell that calls the monks to prayer …,这样我就能进出自由，然后敲响大钟，召集僧人去祷告……,そうすれば自由に動けて、鐘を鳴らせるわ。
198,vocs_over_over_monastery1_briefing_n09,vocs_monastery1_briefing_n09_jp,WARRIOR,… thinning out the crowd. An elegant plan. One of the many things I have missed about you.,调虎离山，然后趁机潜入…… 此计甚妙，爱子小姐还是和当年一样才貌双全。,…紛れ込む、と。なんと美しい計画。拙者が見初めたそなたの魅力のひとつだ。
198,vocs_over_over_monastery1_briefing_n10,vocs_monastery1_briefing_n10_jp,WARRIOR,"Very well. Once we reach Takuma-san, we should …",很好。一旦救出琢磨大师……,いいでしょう。巧磨殿のところに着いたら…。
198,vocs_over_over_monastery1_briefing_n11,vocs_monastery1_briefing_n11_jp,GEISHA,Quickly! Someone is coming!,躲好！有人来了！,隠れて、誰か来る！
198,vocs_over_over_monastery1_briefing_n12,vocs_monastery1_briefing_n12_jp,DAIMYO,I expect you to make up for the loss of the latest shipment.,你们要将功补过，弥补上批货物的损失。,失態を埋め合わせてくれるかの。
198,vocs_over_over_monastery1_briefing_n13,vocs_monastery1_briefing_n13_jp,SAMURAI,"Yes, Lord Yabu. The monks will increase their workload, as will Takuma.",遵命，薮大人。我会让僧人和琢磨都加班加点。,御意、藪様。僧の仕事を増やしております。巧磨も同様です。
198,vocs_over_over_monastery1_briefing_n14,vocs_monastery1_briefing_n14_jp,DAIMYO,"This matter will soon be concluded, and the old man will cease to be useful. See to it that he never leaves this mountain.",最后一批货很快就能造完，那么老家伙就没用了。到时候切记不能让他活着下山。,ことはすぐ終わる。老人はすぐ不要になる。山から逃げ出さぬようにしておけ。
198,vocs_over_over_monastery1_briefing_n15,vocs_monastery1_briefing_n15_jp,SAMURAI,"As you wish, Yabu-sama.",谨遵指令，薮大人。,仰せのままに、藪様。
198,vocs_over_over_monastery1_briefing_n16,vocs_monastery1_briefing_n16_jp,DAIMYO,And make sure that the next transport leaves in time. I will not tolerate any further delays.,下批货一定要准时发出。不可再有拖延。,時間通り輸送を行え。これ以上の遅れは許さん。
198,vocs_over_over_monastery1_briefing_n17,vocs_monastery1_briefing_n17_jp,WARRIOR,"That was close. Best we start now, before more complications arrive.",好险。迟则生变，我们最好立即行动。,危なかった…。今ぞ好機。厄介な事になる前に動きましょう。
198,vocs_over_over_monastery1_briefing_n17a,vocs_monastery1_briefing_n17a_jp,WARRIOR,"Lord Yabu. I expect we will meet again in the near future. For now, we must free Takuma-san.",薮大名，我们很快就会再见面的。但现在要先营救琢磨大师。,藪大名、近い内にまた会うであろう。今は巧磨殿の解放が先だ。
198,vocs_over_over_monastery1_briefing_n17b,vocs_monastery1_briefing_n17b_jp,WARRIOR,So Lord Yabu has forced Takuma-san and the monks to build weapons. We will deal with him once we have freed Takuma-san.,看来是薮大名强迫琢磨大师和僧人们制造武器。这次先营救琢磨大师，下次再去找他。,藪大名は巧磨殿や僧に武器を作らせていたのか。巧磨殿を解放したらあやつの番だ。
198,vocs_over_over_monastery1_briefing_n18,vocs_monastery1_briefing_n18_jp,GEISHA,"I agree, let us begin.",同意，开始行动吧。,そうね、始めましょう。
199,vo_hint_hint_monastery1_transport_n00,vo_monastery1_transport_n00_jp,OFFICER,"This one must reach Kyoto, understand?",这批货一定要安全运到京都，明白吗？,京都に着かねばならぬ、わかってるだろう？
199,vo_hint_hint_monastery1_transport_n01,vo_monastery1_transport_n01_jp,OFFICER,Then take a different route!,那就换条路走！,なら違う経路にしろ。
199,vo_hint_hint_monastery1_transport_n02,vo_monastery1_transport_n02_jp,OFFICER,You must protect these crates with your life.,就算搭上性命也得保护好这批货。,木枠は命をもってお守りせねばならない。
199,vo_hint_hint_monastery1_transport_n03,vo_monastery1_transport_n03_jp,OFFICER,"If  you fail, Lord Yabu will have your head.",要是办砸了，当心薮大人要你脑袋。,もしできなければ藪様がお前の首を取る。
199,vo_hint_hint_monastery1_transport_n04,vo_monastery1_transport_n04_jp,OFFICER,"No excuses, no delays.",别找借口！不得拖延！,問答無用、遅れは許さん。
200,vocs_over_over_monastery1_options_n00,vocs_monastery1_options_n00_jp,WARRIOR,These wagons … I have seen their kind before. This place is indeed the source of the weapon transports.,这些马车…和我之前见过的一样。此地的确就是武器运输的源头。,荷馬車…見覚えがある。確かに、ここが武器輸送の根源に違いない。
200,vocs_over_over_monastery1_options_n01,vocs_monastery1_options_n01_jp,GEISHA,"The gate they came from is heavily guarded, but there are other ways in. Let's explore the possibilities.",大门戒备森严，但还有其它方法进入。先打探下周围吧。,門は守りが堅い、けど他に道はあるはず。何かないか探しましょう。
201,vocs_over_over_monastery1_climbing_n00,vocs_monastery1_climbing_n00_jp,GEISHA,I will go ahead. Will you be patient while I am gone?,我先走一步啦，你会耐心等我回来吗？,潜入してきます。私がいない間、おとなしく待っていてくださるかしら？
201,vocs_over_over_monastery1_climbing_n01,vocs_monastery1_climbing_n01_jp,WARRIOR,The sight of your elegant ascent will keep my thoughts occupied.,你攀爬的背影实在优雅，在下都看呆了。就让我在原地好好回味吧。,そなたの美しき後ろ姿に心囚われ、動くこともままならぬでしょう。
202,vocs_over_over_monastery1_secrets1_n00,vocs_monastery1_secrets1_n00_jp,GEISHA,Curious. This opened a secret passage of sorts. Let us keep that in mind for when we leave.,好神奇。这个机关能打开秘道，撤离的时候或许能派上用场。,面白いわね。秘密の道が開くなんて。出る時は気をつけておきましょう。
202,vocs_over_over_monastery1_secrets1_n01,vocs_monastery1_secrets1_n01_jp,WARRIOR,What is this? It seems to have opened a secret passage. We must remember that for our escape.,这是什么？这个机关好像能打开秘道。最好记下来，逃离的时候用得到。,なんだ、これは。秘密の道か。脱出の時のため、覚えておこう。
203,vocs_over_over_monastery1_entrance_n00,vocs_monastery1_entrance_n00_jp,GEISHA,"Carts and wagons, packed with firearms. What an unexpected place for such a sinister enterprise.",嗯…这么多装满火器的推车和马车。谁能想到堂堂庙宇之上，竟有这等勾当。,荷車、馬車、武器。なんて物騒な場所なの。
204,vocs_over_over_monastery1_pilgrims_n00,vocs_monastery1_pilgrims_n00_jp,GEISHA,There are more guards than monks and pilgrims combined. Clearly the gods are not masters of this temple …,僧人和信众加起来都没守卫多。这座庙里，供奉的哪是神明……,見張りの数が僧や巡礼者より多いわ。ここに神の加護なんて無いわね。
205,vo_hint_hint_monastery1_shy_n00,vo_monastery1_shy_n00_jp,ENEMY,What should I do …,我该怎么办…,どうしよう…。
205,vo_hint_hint_monastery1_shy_n01,vo_monastery1_shy_n01_jp,ENEMY,Uhm … I … hello again …,嗯…那个…我还是想…,えっと…あの、すみません…。
205,vo_hint_hint_monastery1_shy_n02,vo_monastery1_shy_n02_jp,CIVILIAN F,I beg you. Leave me be.,求你了，别来找我了。,ごめんなさい。お手伝いできません。
205,vo_hint_hint_monastery1_shy_n03,vo_monastery1_shy_n03_jp,ENEMY,,,
205,vo_hint_hint_monastery1_shy_n04,vo_monastery1_shy_n04_jp,ENEMY,Give me strength …,大神，赐予我勇气吧…,まいったなぁ…。
205,vo_hint_hint_monastery1_shy_n05,vo_monastery1_shy_n05_jp,ENEMY,Uhm … would you … consider …,呃…那个…我想…,あの…すみません…どうか…。
205,vo_hint_hint_monastery1_shy_n06,vo_monastery1_shy_n06_jp,CIVILIAN F,Please. It is forbidden.,别这样！不可以的。,すみませんが、決まりなので。
205,vo_hint_hint_monastery1_shy_n07,vo_monastery1_shy_n07_jp,ENEMY,,,
206,vocs_over_over_monastery1_servant_n00,vocs_monastery1_servant_n00_jp,GEISHA,This woman has a few secret admirers. Her uniform would fit me perfectly.,好像有不少人对这个女佣有意思嘛。她的衣服正合我身。,この女を思う人がいるようね。その服、私にちょうど良さそうね。
207,vo_hint_hint_monastery1_laundry_n00,vo_monastery1_laundry_n00_jp,CIVILIAN F,,,
207,vo_hint_hint_monastery1_laundry_n01,vo_monastery1_laundry_n01_jp,CIVILIAN F,,,
207,vo_hint_hint_monastery1_laundry_n02,vo_monastery1_laundry_n02_jp,CIVILIAN F,Hmm …,嗯……,うーん…。
207,vo_hint_hint_monastery1_laundry_n03,vo_monastery1_laundry_n03_jp,CIVILIAN F,Almost done.,快干完了。,もうおしまい。
207,vo_hint_hint_monastery1_laundry_n04,vo_monastery1_laundry_n04_jp,CIVILIAN F,There …,嘿！,これ…。
207,vo_hint_hint_monastery1_laundry_n05,vo_monastery1_laundry_n05_jp,CIVILIAN F,This needs mending.,这件得缝一下。,縫わないと。
208,vocs_over_over_monastery1_laundry_n00,vocs_monastery1_laundry_n00_jp,GEISHA,The laundry. What better place to look for new attire?,是洗衣场。要找衣服，来这里就对了。,洗濯場ね。衣服の手に入る場所だわ。
209,vocs_over_over_monastery1_disguise1_n00,vocs_monastery1_disguise1_n00_jp,GEISHA,"Once I have changed clothes, the guards will not suspect me.",换上这身衣服，守卫就不会怀疑我了。,着替えてしまえば、見張りは私に気づかない。
210,vocs_over_over_monastery1_disguise2_n00,vocs_monastery1_disguise2_n00_jp,GEISHA,It has been some time since I have worn Hakama.,已经很久没穿过这种女袴了。,袴なんて久しぶりだわ。
210,vocs_over_over_monastery1_disguise2_n01,vocs_monastery1_disguise2_n01_jp,GEISHA,Now I must proceed to ring the bell. Once the monks have gone to prayer it will be easier to bring Mugen-san inside.,得去敲钟了。如果僧人都去祷告，无限大哥就更容易进来。,鐘を鳴らしに行かないと。僧が祈りに行ってしまえば、武源様が来られる。
211,vocs_over_over_monastery1_temple_n00,vocs_monastery1_temple_n00_jp,GEISHA,"Layers of walls, fortified gates ... this was once an armed temple. No wonder they have the means to produce weapons.",真是高墙林立，关卡重重…...这座寺庙曾在战时武装成据点，难怪会选这里生产武器。,何重もの壁、門の守り…ここはかつて戦場に使われたのね。武器を作っていても不思議ではないわ。
212,vocs_over_over_monastery1_graveyard_n00,vocs_monastery1_graveyard_n00_jp,GEISHA,A graveyard. Former servants of this temple. I always find these sorts of places soothing.,墓地。葬在这里的应该都是庙里的人。这种地方总能让人心神宁静。,墓地ね、お寺の前の従者のだわ。こういう場所って落ち着くわね。
213,vocs_over_over_monastery1_tunnels_n00,vocs_monastery1_tunnels_n00_jp,GEISHA,Tunnels. Do they lead to the different parts of the temple? What a curious place this is.,有隧道，是连通寺庙其它地点的吗？这里的构造真是稀奇。,抜け穴ね。これは寺の別の場所へと繋がるのかしら。面白そうね。
214,vocs_over_over_monastery1_bell_n00,vocs_monastery1_bell_n00_jp,GEISHA,The bell. I hope the monks do not mind a change in routine.,钟在这里。希望大家不要察觉今日的祷告时间和平时不一样。,鐘だわ。いつもと違う時間なのに気づかなければいいけれど。
215,vocs_over_over_monastery1_clear_n00,vocs_monastery1_clear_n00_jp,GEISHA,The path is clear. I should return to the entrance and help Mugen-san in.,路已开好，现在该回到入口，帮无限大哥进来。,道は開いたわ。入口に戻って武源様が入るお手伝いをしましょう。
216,vocs_over_over_monastery1_inside_n00,vocs_monastery1_inside_n00_jp,WARRIOR,"I'm in the temple. What is your impression so far, Aiko-san?",我已进入寺庙。你在庙中有什么发现吗，爱子小姐？,寺に入ったぞ。状況はいかがです、愛琥殿。
216,vocs_over_over_monastery1_inside_n01,vocs_monastery1_inside_n01_jp,GEISHA,This place hides many things. It must have a rich history.,此地藏了不少秘密，必有很多渊源。,色々隠されたものがあるわ。過去に色々ありそうね。
216,vocs_over_over_monastery1_inside_n02,vocs_monastery1_inside_n02_jp,WARRIOR,We could look for records to satisfy your curiosity.,文献里没有记载，不过我们可以一起去找找。,記録がないか探してみましょう。
216,vocs_over_over_monastery1_inside_n03,vocs_monastery1_inside_n03_jp,GEISHA,"You mean well Mugen, but I think we have more urgent business to attend to.",无限大哥说笑了。还是赶紧办正事吧。,武源様らしいこと。けれど、今は先にすべきことがあるわ。
217,vocs_over_over_monastery1_rocks_n00,vocs_monastery1_rocks_n00_jp,WARRIOR,These rocks might prove useful. I could throw them on unsuspecting opponents.,这些岩石说不定有用。可以悄悄扔到敌人头上，给他们来个惊喜。,この岩は役に立ちそうだ。警戒心の弱い敵に投げつけることもできましょう。
