sec,voen,vojp,s,en,cn,jp
158,vocs_over_over_mansion_briefing_n00,vocs_mansion_briefing_n00_jp,NINJA,More guards than last time. Guess Lord Yabu wants to make this challenging.,守卫比上次多了。看来薮大名还想给我们增加点难度。,以前より数が多いな、藪の挑戦ってわけか。
158,vocs_over_over_mansion_briefing_n01,vocs_mansion_briefing_n01_jp,ALCHEMIST,He knows I have been freed. His fears are well justified.,他知道我逃走了，所以加强戒备也不奇怪。,ワシが逃げたのも知っておる。奴が警戒するのも当然じゃ。
158,vocs_over_over_mansion_briefing_n02,vocs_mansion_briefing_n02_jp,NINJA,"Three bodyguards, armoured clothing, never leaves the courtyard ... don't think we should attack head on.",有三个全副武装的贴身保镖，而且寸步不离庭院……正面进攻是不行了。,鎧で武装した護衛が三人、中庭にいる。…正面攻撃はすべきではなさそうだ。
158,vocs_over_over_mansion_briefing_n03,vocs_mansion_briefing_n03_jp,TRAPPER,"He drinks tea, right?",他爱喝茶吧？,お茶を飲んでるよね？
158,vocs_over_over_mansion_briefing_n04,vocs_mansion_briefing_n04_jp,NINJA,… what?,……怎么？,…なんだ？
158,vocs_over_over_mansion_briefing_n05,vocs_mansion_briefing_n05_jp,TRAPPER,He always drinks tea on that little island.,他常在那个小岛上喝茶哦。,いつも小さな島の所でお茶を飲んでるのよ。
158,vocs_over_over_mansion_briefing_n06,vocs_mansion_briefing_n06_jp,ALCHEMIST,"Heh, not a bad idea. Take this flask, child. You can add a little death to his drink.",哦…好主意！这个瓶子给你。往茶里放一点就足以送他上路了。,ほぅ、いい作戦じゃの。この薬を持っていきなさい。こいつを飲み物に少し混ぜてやるんじゃ。
158,vocs_over_over_mansion_briefing_n07,vocs_mansion_briefing_n07_jp,NINJA,What about that tower? Think you can take the shot from there.,那座塔怎么样？你应该能从那上面狙击。,あの塔はどうだ？あそこから射撃できるんじゃないか？
158,vocs_over_over_mansion_briefing_n08,vocs_mansion_briefing_n08_jp,ALCHEMIST,"Hmm, not impossible, if we manage to coax him out of cover first.",嗯…也可以，但要先把他从庭院里引出来。,うーむ、奴を外に呼び出せれば可能じゃの。
158,vocs_over_over_mansion_briefing_n09,vocs_mansion_briefing_n09_jp,TRAPPER,"His bodyguards, they'll see him die, yes? Then everyone will search for us …",他的手下会发现主子被杀吧？到时候，所有人都会来找我们了……,護衛たちが奴の死を見るってこと？そしたら、皆一斉にあたしたちを探し始める…。
158,vocs_over_over_mansion_briefing_n10,vocs_mansion_briefing_n10_jp,NINJA,Sounds like the perfect moment to use those matchlock pistols you gave us.,到那时候，你给我们的火绳枪就该派上用场了。,なら、もらった火縄銃をついに使うことになりそうだな。
158,vocs_over_over_mansion_briefing_n11,vocs_mansion_briefing_n11_jp,ALCHEMIST,"Hmm, we should save them until that point. I also brought a couple of bombs, in case things get dire.",嗯，万不得已的时候再用吧。我还带了一些手雷，以解燃眉之急。,うーむ、その時まで使うのをとっておくべきじゃ。それと爆弾も持っておる。緊急の時のためにの。
158,vocs_over_over_mansion_briefing_n12,vocs_mansion_briefing_n12_jp,NINJA,"Heh … good to know. Alright, let's get going.",哈哈……那太好了。那么，开始行动吧！,ほぅ…そいつはよかった。よし、始めよう。
159,vocs_over_over_mansion_tanuki1_n00,vocs_mansion_tanuki1_n00_jp,ALCHEMIST,"Go, Kuma!",去吧，小熊!,行け、クマ！
159,vocs_over_over_mansion_tanuki1_n01,vocs_mansion_tanuki1_n01_jp,TRAPPER,He's cute! Is he your friend?,真可爱！他是你的朋友吗？,かわいい！お友達なの？
159,vocs_over_over_mansion_tanuki1_n02,vocs_mansion_tanuki1_n02_jp,ALCHEMIST,"Heh, you could say that.",嘿嘿，可以这么说吧。,ほっほ、そう言えるかのう。
160,vocs_over_over_mansion_tanuki2_n00,vocs_mansion_tanuki2_n00_jp,ALCHEMIST,Distract them!,引开他们！,気を引くんじゃ。
160,vocs_over_over_mansion_tanuki2_n01,vocs_mansion_tanuki2_n01_jp,TRAPPER,"Oh, he's clever!",哇，他真聪明！,わあ、賢い。
160,vocs_over_over_mansion_tanuki2_n02,vocs_mansion_tanuki2_n02_jp,ALCHEMIST,That he certainly is.,嗯，那当然。,うむ、そうじゃの。
161,vocs_over_over_mansion_tanuki3_n00,vocs_mansion_tanuki3_n00_jp,ALCHEMIST,"Kuma, come back!",小熊，回来！,クマ、戻るんじゃ！
161,vocs_over_over_mansion_tanuki3_n01,vocs_mansion_tanuki3_n01_jp,NINJA,Never seen a tame tanuki. How did you train it?,从来没见过驯化的狸猫。你是怎么训练它的？,狸を手懐けるなんてな。どうやって教え込んだんだ？
161,vocs_over_over_mansion_tanuki3_n02,vocs_mansion_tanuki3_n02_jp,ALCHEMIST,"Hehe, what makes you think I trained him? Maybe it's the other way around?",呵呵呵，你怎么知道是我在训练他？也许恰恰相反呢？,へっへっへ、どうしてワシが教えたと思ったんじゃ？むしろ、その逆かもしれんの？
161,vocs_over_over_mansion_tanuki3_n03,vocs_mansion_tanuki3_n03_jp,NINJA,Uhuh.,呃……,ああ。
162,vocs_over_over_mansion_knife_n00,vocs_mansion_knife_n00_jp,ALCHEMIST,You are quick with the knife. Your life was hard?,你小刀用得很熟练。看来以前过得很苦吧？,素早い短刀捌きじゃの。過酷な毎日じゃったかの？
