lvl,sec,voen,vojp,s,en,cn,jp
1,85,vocs_over_over_firstcastle_intro_n00,vocs_firstcastle_intro_n00_jp,NARRATOR,"Japan, early Edo Period",日本，江户时代早期,日本、江戸の初期
1,85,vocs_over_over_firstcastle_intro_n01,vocs_firstcastle_intro_n01_jp,NARRATOR,"Finally, after centuries of civil war, there is hope for peace as a new Shogun rises to unify the nation.",历经数百年战乱之后，终于又出现了一位可以独掌大权的幕府将军，日本即将迎来久违的和平。,百年以上続く戦乱の中、新たな将軍による平和への一筋の光が見えていた。
1,85,vocs_over_over_firstcastle_intro_n02,vocs_firstcastle_intro_n02_jp,NARRATOR,"In the stronghold of Osaka Castle the last  adversary remains defiant. After months of siege, the Shogun sends a lone Shinobi into the heart of the enemy fortress …",将军的最后一位对手仍然在大阪城内负隅顽抗。眼看数月围城无果，将军便秘派一位独行忍者潜入到敌方要塞中心……,大阪城要塞にて、敵兵による最後の抵抗が続いていた。数ヶ月に及ぶ包囲戦の後、将軍はたった一人の”忍”を敵要塞の中心に送り込む…。
1,85,vocs_over_over_firstcastle_intro_n02a,vocs_firstcastle_intro_n02a_jp,NARRATOR,"In the stronghold of Osaka Castle the last  adversary remains defiant. After months of siege, the Shogun sends a lone Shinobi on a secret mission …",将军的最后一位对手仍然在大阪城内负隅顽抗。眼看数月围城无果，将军便秘派一位独行忍者执行一项隐秘任务……,大阪城要塞にて、敵兵による最後の抵抗が続いていた。数ヶ月に及ぶ包囲戦の後、将軍はたった一人の”忍”にある指令を与える…。
1,85,vocs_over_over_firstcastle_intro_n03,vocs_firstcastle_intro_n03_jp,NINJA,Nothing personal. Just can't have you warn the others up there.,虽与你无冤无仇，但我不能让你走漏了风声。,悪く思うなよ。見つかると面倒なんでな。
1,85,vocs_over_over_firstcastle_intro_n04,vocs_firstcastle_intro_n04_jp,NINJA,Looks like a whole nest of guards. Bet they're preparing for the Shogun's next attack.,真是戒备森严。看来正在为抵挡将军的下次进攻做准备。,大量の見張りだな。上様の次の攻撃に備えているようだな。
1,85,vocs_over_over_firstcastle_intro_n04a,vocs_firstcastle_intro_n04a_jp,NINJA,Looks like a whole nest of guards. Who'd have thought! This might actually get challenging.,真是戒备森严，万万没想到!看来这次有点棘手。,こいつは驚いた。大量の見張りだな。少し手こずるかもな。
1,85,vocs_over_over_firstcastle_intro_n05,vocs_firstcastle_intro_n05_jp,NINJA,"Not much happening here. I'll keep my head down, just in case.",这边好像没什么情况。但还是小心为妙，以防万一。,ここらへんは安全そうだな。だが、念のため注意して進もう。
1,85,vocs_over_over_firstcastle_intro_n05a,vocs_firstcastle_intro_n05a_jp,NINJA,"Not much happening here. I'll keep my head down, just in case.",这边好像没什么情况。但还是小心为妙，以防万一。,ここらへんは安全そうだな。だが、念のため注意して進もう。
1,85,vocs_over_over_firstcastle_intro_n06,vocs_firstcastle_intro_n06_jp,NINJA,Barricades everywhere. Who'd have thought! This might actually get challenging.,到处都是路障。万万没想到!看来这次有点棘手。,こいつは驚いた。防柵だらけだな。少し手こずるかもな。
1,85,vocs_over_over_firstcastle_intro_n06a,vocs_firstcastle_intro_n06a_jp,NINJA,Barricades everywhere. Bet they're preparing for the Shogun's next attack.,到处都是路障。看来正在为抵挡将军的下次进攻做准备。,防柵だらけだな。上様の次の攻撃に備えているようだな。
1,85,vocs_over_over_firstcastle_intro_n07,vocs_firstcastle_intro_n07_jp,NINJA,There. Have to reach that gate. Guess I have my work cut out for me.,大门在那儿，必须先到那里。这下有得忙了。,あそこだ。あの門の所まで行かなければ。厄介な仕事になりそうだ。
1,85,vocs_over_over_firstcastle_intro_n07a,vocs_firstcastle_intro_n07a_jp,NINJA,First order is to reach that gate. Should be a good warm up for the real mission.,首先要到达那扇大门处。任务开始前正好就当热身了。,最初の任務はあの門の所まで行くことだ。肩慣らしにぴったりだな。
