lvl,sec,voen,vojp,s,en,cn,jp
21,26,vocs_over_over_bathhouse_post_n00,vocs_bathhouse_post_n00_jp,BROGUNSON,"Teh, I don't know ... my father … doesn't share … his plans ... with me …",我不知道……父亲大人没有……把他的计划……告诉我……,知らない…父上は…計画を…私に話そうとはしない…。
21,26,vocs_over_over_bathhouse_post_n01,vocs_bathhouse_post_n01_jp,ALCHEMIST,That is all I can do. If we give him a higher dose he won't wake up again.,只能用这么大剂量。如果药量再加大，他就永远醒不过来了。,これが限界じゃ。もしこれ以上薬を増やせば、二度と起きんくなるわい。
21,26,vocs_over_over_bathhouse_post_n02,vocs_bathhouse_post_n02_jp,GEISHA,Then we must work with what we have.,既然问不出来，那就只能另谋他路了。,なら、別の方法で続けるしかないわね。
21,26,vocs_over_over_bathhouse_post_n03,vocs_bathhouse_post_n03_jp,TRAPPER,Let me hurt him.,让我也出口气。,痛めつけましょう。
21,26,vocs_over_over_bathhouse_post_n04,vocs_bathhouse_post_n04_jp,GEISHA,He's the only chance we have to resolve this matter.,他是我们洗清罪名的唯一机会。,彼はこの件の解決のためのたった一つの可能性。
21,26,vocs_over_over_bathhouse_post_n05,vocs_bathhouse_post_n05_jp,ALCHEMIST,"Hmm, you have a plan?",唔…看来你已经想出方法了？,ふーむ、何かあるのじゃな？
21,26,vocs_over_over_bathhouse_post_n06,vocs_bathhouse_post_n06_jp,GEISHA,"The Shogun would never believe us if we tried to explain ourselves. But if Masaru confessed to him that he is Ryūnosuke's murderer, it might turn things in our favour.",将军不会相信我们说的话，但是假如让真申亲口承认他是杀死龙之介的真凶，或许就能扭转乾坤。,上様は私たちを信用しようとしないでしょうね。けど、自分が龍之介様を殺したと勝が自白すれば、こちらの思うようにいくかもしれないわ。
21,26,vocs_over_over_bathhouse_post_n07,vocs_bathhouse_post_n07_jp,TRAPPER,So we … give him to the Shogun? Like a package?,所以我们……要像送礼一样，把他亲手交给将军吗？,ってことは、将軍にこの人を渡すの？土産みたいに？
21,26,vocs_over_over_bathhouse_post_n08,vocs_bathhouse_post_n08_jp,NINJA,It won't be easy with that bounty on our heads.,没这么简单吧，我们可都是被通缉的要犯。,そんな簡単に結果は得られないだろう。
21,26,vocs_over_over_bathhouse_post_n09,vocs_bathhouse_post_n09_jp,ALCHEMIST,There's more. Yuki and I overheard some news when we were out. The Shogun left Edo not long ago.,对了，之前友希和我外出时，听说将军不久前刚离开江户。,そうじゃ、雪ちゃんとワシは外にいた時に聞いてたんじゃよ。上様は最近江戸を出られたらしい。
21,26,vocs_over_over_bathhouse_post_n10,vocs_bathhouse_post_n10_jp,TRAPPER,He's on his way to visit the emperor in Kyoto.,他要去京都拜见天皇。,京都の天皇の所へ参られる途中だよ。
