lvl,sec,voen,vojp,s,en,cn,jp
11,131,vocs_over_over_lakevillage_briefing_n00,vocs_lakevillage_briefing_n00_jp,NINJA,This must be Hida village. I say we stick to the shadows. Avoid the lights.,这里就是飞騨村了。注意避开火光，暗中行动。,ここが飛騨村か。暗がりのみを行こう。光は避けるんだ。
11,131,vocs_over_over_lakevillage_briefing_n01,vocs_lakevillage_briefing_n01_jp,GEISHA,"I approve of your words, Hayato-san, but it will require more to learn the rebels' plans.",隼人兄所言极是。不过，要查清叛军的计划，还得先收集点情报。,そうですね、隼人さん。けど反乱の計画についてもっと知る必要があるわ。
11,131,vocs_over_over_lakevillage_briefing_n02,vocs_lakevillage_briefing_n02_jp,GEISHA,"The villagers are being treated poorly. I do not think they would expose us, even if we show ourselves to them.",村民都受尽了虐待。所以就算被他们看到，应该也不会给叛军通风报信的吧。,村人はひどい扱いを受けているわ。私たちのことをばらしたりはしないはずよ。もし自分たちの姿を見せたとしても。
11,131,vocs_over_over_lakevillage_briefing_n03,vocs_lakevillage_briefing_n03_jp,GEISHA,The tavern will be full of conversation. No doubt we will gain insight there.,酒馆那儿聊得正酣。打探一番必有收获。,酒場では色々な話が飛び交っているわ。必ず何か得られるはずよ。
11,131,vocs_over_over_lakevillage_briefing_n04,vocs_lakevillage_briefing_n04_jp,NINJA,"Too crowded for my taste. Why not go for the stables? Less people, more cover.",那边人多眼杂。还是去牛棚吧？人又少，还便于藏身。,混み過ぎだな、馬小屋ははどうだ？人は少なく、隠れられる所は多い。
11,131,vocs_over_over_lakevillage_briefing_n05,vocs_lakevillage_briefing_n05_jp,GEISHA,The tavern is the safer option. All we need is a suitable disguise.,还是酒馆更安全。只要有件合适的伪装即可。,酒場の方が安全だわ。それと、お互い変装の服が必要よ。
11,131,vocs_over_over_lakevillage_briefing_n06,vocs_lakevillage_briefing_n06_jp,NINJA,"Heh, admit it, you just want a new set of clothes.",…嗯，你就是想穿新衣服而已吧。,むぅ、新しい服が着たいだけだろ？
11,131,vocs_over_over_lakevillage_briefing_n07,vocs_lakevillage_briefing_n07_jp,TRAPPER,Uhm … can we just decide on the way? ,嗯……要不等会儿再决定吧？ ,うーむ…どっちに行くのか決められないのかな。
11,132,vocs_over_over_lakevillage_night_n00,vocs_lakevillage_night_n00_jp,NINJA,"Ah, always a pleasure working at night.",哼，还是夜里行动最好。,っふ…夜に働くのは最高だ。
11,132,vocs_over_over_lakevillage_night_n01,vocs_lakevillage_night_n01_jp,GEISHA,It has it's advantages.,确实有好处。,それにはそれの良さがあるわね。
11,132,vocs_over_over_lakevillage_night_n02,vocs_lakevillage_night_n02_jp,NINJA,"Keep your head down, avoid the lights, and no one will be able to spot us.",蹲下走，远离光源，这样就没人能发现我们。,隠れてろよ、光は避けて、誰にも見つからないようにするんだ。
11,133,vocs_over_over_lakevillage_lamp_n00,vocs_lakevillage_lamp_n00_jp,NINJA,Fire's dead. Someone's bound to notice.,肯定会有人注意到火灭了。,灯りが消えた、誰か気付くはずだ。
11,133,vocs_over_over_lakevillage_lamp_n01,vocs_lakevillage_lamp_n01_jp,TRAPPER,Lights out! Leave before the guard sees it!,火灭了！在守卫发现前赶紧离开！,灯りが消えた。見張りが見る前に出ないと。
11,133,vocs_over_over_lakevillage_lamp_n02,vocs_lakevillage_lamp_n02_jp,GEISHA,These new shadows will not go unnoticed.,巡逻的敌人肯定会发现这边变暗了。,新しい闇、気づかれるわけにはいかないわね。
11,134,vo_hint_hint_lakevillage_burn_n00,vo_lakevillage_burn_n00_jp,ENEMY,Bring more!,再添把柴！,もってこい！
11,134,vo_hint_hint_lakevillage_burn_n01,vo_lakevillage_burn_n01_jp,ENEMY,We'll burn everything!,全都给我烧了！,燃やしてやる！
11,134,vo_hint_hint_lakevillage_burn_n02,vo_lakevillage_burn_n02_jp,ENEMY,We can't let the fire go out.,火不能灭。,火を消すわけにはいかぬ。
11,134,vo_hint_hint_lakevillage_burn_n03,vo_lakevillage_burn_n03_jp,ENEMY,Hurry. It's getting cold.,快点。火都快熄了。,急げ！消えてしまうぞ。
11,134,vo_hint_hint_lakevillage_burn_n04,vo_lakevillage_burn_n04_jp,ENEMY,"Faster, you dirty peasant.",麻利点，这帮贱民。,急げ、小汚い百姓め。
11,134,vo_hint_hint_lakevillage_burn_n05,vo_lakevillage_burn_n05_jp,ENEMY,"That can't be all, can it?",怎么可能就这么点儿？,まだ全部じゃないだろ、ええ？
11,135,vocs_over_over_lakevillage_fear1_n00,vocs_lakevillage_fear1_n00_jp,TRAPPER,Why do the rebels hate the villagers so?,为什么叛军这么恨村民？,どうして、反逆者は村を嫌っているの？
11,135,vocs_over_over_lakevillage_fear1_n01,vocs_lakevillage_fear1_n01_jp,NINJA,I don't think they hate them.,我看他们并不是恨村民。,嫌っているとは思えないな。
11,135,vocs_over_over_lakevillage_fear1_n02,vocs_lakevillage_fear1_n02_jp,TRAPPER,So they just like hurting them.,那他们只是很喜欢欺负人吗？,じゃあいじめるのが好きなの？
11,135,vocs_over_over_lakevillage_fear1_n03,vocs_lakevillage_fear1_n03_jp,GEISHA,"They do this to spread fear, child. The villagers take this abuse, for if they resist, they will no doubt be executed.",他们这么做只是为了制造恐慌，村民们也只能默默承受。因为一旦反抗，会被当场处决。,恐怖を蔓延させるためにやっているのよ。村人は黙ったままで、もし抵抗したら、処刑されるのよ。
11,135,vocs_over_over_lakevillage_fear1_n04,vocs_lakevillage_fear1_n04_jp,TRAPPER,Oh …,哦……,そんな…。
11,136,vocs_over_over_lakevillage_lake_n00,vocs_lakevillage_lake_n00_jp,GEISHA,Swimming across will get us close to the tavern.,从这里游过去就是酒馆了。,泳いでいけば、酒場には着けるわね。
11,136,vocs_over_over_lakevillage_lake_n01,vocs_lakevillage_lake_n01_jp,NINJA,Don't think we should go that way.,我还是觉得走这边不好。,そのやり方で行くのはあまり賢いとは言えんな。
11,136,vocs_over_over_lakevillage_lake_n02,vocs_lakevillage_lake_n02_jp,GEISHA,Hayato-san! Don't tell me you can't swim!,隼人兄！该不是你不会游泳吧？,…隼人さん、もしかして泳げないとか？
11,136,vocs_over_over_lakevillage_lake_n03,vocs_lakevillage_lake_n03_jp,NINJA,You can't be serious …,开什么玩笑……,馬鹿を言うな…。
11,137,vocs_over_over_lakevillage_road_n00,vocs_lakevillage_road_n00_jp,NINJA,"Let's follow the road, it'll take us to the stables.",沿着这条路，就能走到牛棚。  ,この道を通ろう、馬車へ行ける。
11,137,vocs_over_over_lakevillage_road_n01,vocs_lakevillage_road_n01_jp,GEISHA,I am against taking this route.,我反对走这边。,その道は反対だわ。
11,137,vocs_over_over_lakevillage_road_n02,vocs_lakevillage_road_n02_jp,NINJA,What? Afraid you'll ruin your feet?,为什么？路太远你走不动？,なんだと？足が持たないとでも？
11,137,vocs_over_over_lakevillage_road_n03,vocs_lakevillage_road_n03_jp,GEISHA,"Yes, that would be awful. You would have to carry me.",是啊，我脚吃不消。只能靠你背我了。,ええそうよ、そういうこと。私を運んでいくことになるわよ。
