lvl,sec,voen,vojp,s,en,cn,jp
5,334,vocs_over_over_snowcity_briefing1_n00,vocs_snowcity_briefing1_n00_jp,TRAPPER," … Master samurai? Master samurai? … no, no, you ran too fast, stupid …", ……武士大人？武士大人？……不，不，我跑得太快了，笨蛋……,…お侍さん。お侍さん。…駄目駄目、走るの速すぎだよ。
5,334,vocs_over_over_snowcity_briefing1_n01,vocs_snowcity_briefing1_n01_jp,TRAPPER,"Find him, before he gets angry. Now, stupid!",在他生气之前赶紧找到他。我真是笨啊！,怒られる前に見つけないと。すぐによ、ばかっ。
5,335,vocs_over_over_snowcity_briefing1a_n00,vocs_snowcity_briefing1a_n00_jp,TRAPPER, … Master samurai?, ……武士大人？, …お侍さん。
5,335,vocs_over_over_snowcity_briefing1a_n01,vocs_snowcity_briefing1a_n01_jp,TRAPPER,"Not here! Wrong place, stupid!",不是这里！找错地了，笨蛋！,いないわ！ここじゃないわ、ばか。
5,335,vocs_over_over_snowcity_briefing1a_n02,vocs_snowcity_briefing1a_n02_jp,TRAPPER,"Find him, before he gets angry.",在他生气之前赶紧找到他。,怒られる前に見つけないと。
5,335,vocs_over_over_snowcity_briefing1a_n03,vocs_snowcity_briefing1a_n03_jp,TRAPPER,"Now! Hurry, stupid!",现在！赶快，笨蛋！,すぐによ！急がないと、ばか！
5,336,vocs_over_over_snowcity_separated_n00,vocs_snowcity_separated_n00_jp,TRAPPER,"You lost him, stupid, stupid, stupid!",我跟丢他了，笨、笨、笨啊！,見失うなんて、ばか、ばか、ばか！
5,336,vocs_over_over_snowcity_separated_n00a,vocs_snowcity_separated_n00a_jp,TRAPPER,"You messed up, stupid, stupid!",哦，我搞砸了，笨蛋、笨蛋！,やっちゃったわ、ばか、ばか！
5,337,vocs_over_over_snowcity_footprints_n00,vocs_snowcity_footprints_n00_jp,TRAPPER,"Footprints. Little traitors. Like arrows, pointing at you.",脚印会暴露行踪的。,足跡。反逆者たち。矢のようにあなたを狙う。
5,338,vocs_over_over_snowcity_crossover_n00,vocs_snowcity_crossover_n00_jp,TRAPPER,Maybe this way? Please let him be this way …,也许是这条路？拜托他也走了这条路……,多分こっちかな？お願いだからこの道にいて…。
5,339,vo_hint_hint_snowcity_sake1_n00,vo_snowcity_sake1_n00_jp,STATIC,Head for the market when the wagon's fully loaded.,马车装满酒后就前往集市。,馬車に荷物が乗ったら市場へ向かってくれ。
5,339,vo_hint_hint_snowcity_sake1_n01,vo_snowcity_sake1_n01_jp,CIVILIAN M,"Yes, my lord.",是，大人！,はい、わかりました。
5,339,vo_hint_hint_snowcity_sake1_n02,vo_snowcity_sake1_n02_jp,STATIC,"Make haste, all of you! The sake won't deliver itself.",所有人抓紧时间！清酒可不会自己送过去。,いそげ、皆よ！酒が届けられぬぞ。
5,340,vocs_over_over_snowcity_briefing2_n00,vocs_snowcity_briefing2_n00_jp,TRAPPER,Master samurai!,哦，武士主人！,お侍さん！
5,340,vocs_over_over_snowcity_briefing2_n01,vocs_snowcity_briefing2_n01_jp,WARRIOR,"There you are! You had me worried there, young woman.",你来了！小姑娘，你真让我担心。,ここにいたか！心配したぞ、若い娘よ。
5,340,vocs_over_over_snowcity_briefing2_n02,vocs_snowcity_briefing2_n02_jp,TRAPPER,Sorry … am I in trouble?,抱歉……是不是我有麻烦了？,ごめん…厄介ごとを持ってきちゃった？
5,340,vocs_over_over_snowcity_briefing2_n03,vocs_snowcity_briefing2_n03_jp,WARRIOR,"We will see. For now, let us proceed with the mission.",暂时没有，现在我们继续进行任务。,さて、どうだろうな。とにかく今は任務を進めよう。
5,340,vocs_over_over_snowcity_briefing2_n04,vocs_snowcity_briefing2_n04_jp,WARRIOR,That man is a high ranking official. He has the documents we need.,那个人是名高级官员。我们要拿的文件就在他身上。,その男は位の高い役人だ。我らの欲しい書類を持っておる。
5,340,vocs_over_over_snowcity_briefing2_n05,vocs_snowcity_briefing2_n05_jp,TRAPPER,"Uhm, he has lots of samurai with him …",嗯，他身边全是武士……,うーん、まわりに侍がたくさん…。
5,340,vocs_over_over_snowcity_briefing2_n06,vocs_snowcity_briefing2_n06_jp,WARRIOR,"We will worry about that later. First, we need to get inside the compound.",那个问题稍后再说。首先，我们得进入大院。,それは後で考えよう。まず、屋敷の中に入る必要がある。
