lvl,sec,voen,vojp,s,en,cn,jp
14,309,vocs_over_over_ricefields_post_n00,vocs_ricefields_post_n00_jp,BROGUN,"They pushed back our first assaults. We must attack the castle in full force, leave them no time to breathe.",他们刚挡住我军的首轮进攻。此时更应一鼓作气，全力攻城。不能给敌人喘息的机会。,奴らは暗殺を逃れた。全力で城を攻撃すべきだ、息をする暇を与えてはならぬ。
14,309,,vocs_ricefields_post_n00a_jp,BROGUN,They fortified themselves within Kanazawa Castle. I will not let them rest on this victory. Our next move must end this rebellion and stop Okkoto once and for all.,他们龟缩在金泽城内增强了防御。第一轮虽然没打进去，但我不会让他们得意太久。下一轮进攻必须要了结这场叛乱，彻底铲除乙事。,奴らは金沢城内にて防備を強化している。この勝利で休ませなどせぬ。次の一手で反抗を終わらせ、乙事を完全に止めるのだ。
14,309,vocs_over_over_ricefields_post_n01,vocs_ricefields_post_n01_jp,WARRIOR,I will not see the use of cannons before I have news of Aiko and Hayato!,在收到爱子和隼人的消息之前，我是绝不会用火炮的！,愛琥殿と隼人殿から知らせがあるまでは大砲を絶対使いはせぬ！
14,309,,vocs_ricefields_post_n01a_jp,WARRIOR,"With respect, Noboru-sama, but we should wait until we have news of Aiko and Hayato before we march into battle.",恕属下直言，昇大人。在进军之前，应先等待爱子和隼人的情报。,昇様、お言葉ですが、愛琥殿と隼人殿が情報を持って帰ってくるまでは、戦いを始めるのは待つが得策かと。
14,309,vocs_over_over_ricefields_post_n02,vocs_ricefields_post_n02_jp,BROGUNSON,"Mind your place, Mugen. Had we heard of this attack earlier, we would not see battle today.",注意你的身份，无限！如能早些收到敌方攻城的消息，今日本无需一战。,わきまえろ、武源！もっと早く情報が届いていれば、今日の戦闘はなかったはずだ！
14,309,vocs_over_over_ricefields_post_n03,vocs_ricefields_post_n03_jp,GEISHA,A matter I find quite puzzling myself. Why was general Okkoto allowed to take Kanazawa castle?,简直是不可思议。为何金泽城还是被乙事大将攻下来了？,不可解な問題があります。なぜ乙事大将は金沢城の支配を許されたのでしょう？
14,309,vocs_over_over_ricefields_post_n04,vocs_ricefields_post_n04_jp,WARRIOR,Aiko-san! And Hayato-san!,爱子小姐！隼人兄！,愛琥殿！隼人殿！
14,309,vocs_over_over_ricefields_post_n05,vocs_ricefields_post_n05_jp,NINJA,In the flesh.,活着回来了。,生きてるよ。
14,309,vocs_over_over_ricefields_post_n06,vocs_ricefields_post_n06_jp,GEISHA,We learned of Okkoto's plans in Hida village? Did the child not deliver our message?,我们早已在飞騨村打探到乙事的计划。难道友希没把消息带到？,飛騨村で乙事の計画を聞いた？雪はメッセージを届けなかったの？
14,309,vocs_over_over_ricefields_post_n07,vocs_ricefields_post_n07_jp,TRAPPER,Er ...,呃……那个……,えと…その…。
14,309,vocs_over_over_ricefields_post_n08,vocs_ricefields_post_n08_jp,GEISHA,Yuki-chan.,友希小妹。,雪ちゃん。
14,309,vocs_over_over_ricefields_post_n09,vocs_ricefields_post_n09_jp,GEISHA,"I told you how important this was, did I not?",我应该告诉过你此事的重要性吧？,これが、どれだけ大切か伝えたはずよ。
14,309,vocs_over_over_ricefields_post_n10,vocs_ricefields_post_n10_jp,ALCHEMIST,"Calm yourself, Aiko-san. Yuki-chan is not at fault.",冷静点，爱子小姐。不是友希姑娘的错。,落ち着きなされ、愛琥さんよ。雪ちゃんは悪くないんじゃ。
14,309,vocs_over_over_ricefields_post_n11,vocs_ricefields_post_n11_jp,WARRIOR,Aiko-san. She strayed from her task so she could save my life.,友希小妹半途发现我们身陷险境，她是为了救我们才不得已脱离任务的。,雪殿が任務を果たせなんだのは、窮地に陥った我らを救うべく、尽力してくれ、と申したがゆえ。
14,309,vocs_over_over_ricefields_post_n12,vocs_ricefields_post_n12_jp,BROGUN,None of this matters now! We must make do with what we have. What can you both tell us of Okkoto's defences?,现在说这些也没用！关键是要利用好手头的资源。你俩刺探乙事的城防有什么发现？,そのようなことはいい！できることをせねばならぬ。二方は乙事の守備について何がわかったのだ？
14,309,vocs_over_over_ricefields_post_n13,vocs_ricefields_post_n13_jp,NINJA,"We followed him and his army from Hida. They are trained, well equipped and disciplined in combat. Taking the castle came easy to them.",从飞騨开始我们便一路跟踪他的部队。他们训练有素，装备精良，纪律严明。攻城对他们而言确实轻而易举。,奴とその部隊を飛騨から尾行した。戦闘でよく訓練された部隊だった。武器もよく手入れされていた。城を落とすぐらい、奴らには造作もないことだろう。
14,309,vocs_over_over_ricefields_post_n14,vocs_ricefields_post_n14_jp,GEISHA,Their food and munition depots are full. They could hold out for months. And we have heard talk that Kage-sama will send reinforcements soon.,粮草和弹药也储备充足，足够坚守几个月。而且听说影大人很快就会派来援兵。,食料や軍備は揃っておりました。数ヶ月は耐えうることでしょう。また、カゲサマからの増援がすぐにあるとの話も聞いております。
14,309,vocs_over_over_ricefields_post_n15,vocs_ricefields_post_n15_jp,BROGUN,I will not wait months. Make your preparations! You will all be part of the next attack. I expect you to tip the balance in our favour.,几个月我可等不了。你们快去做好准备，参加下次进攻。我期望你们能为我军扭转战局。,数ヶ月も待てぬ。準備をしろ！次の攻撃には参加してもらう。情勢を優位に変えてくれることを期待する。
14,309,vocs_over_over_ricefields_post_n16,vocs_ricefields_post_n16_jp,GEISHA,Lord Noboru! I have precise knowledge of Okkoto's defences. Perhaps it will help you in the battle to come?,昇大人！我已对乙事的防御布阵了若指掌，或许能为制定下次的战术尽绵薄之力？,昇様！私には乙事の守りに関する確かな考えがあります。おそらく、今後の戦いへの助けになるかと。
14,309,vocs_over_over_ricefields_post_n17,vocs_ricefields_post_n17_jp,BROGUN,"If your knowledge is as vital as you make it out to be, Aiko-san, then join us. The rest of you prepare for battle. You will receive my orders shortly.",如果你掌握的情报真的能克敌制胜，那你就留在后方吧，爱子小姐。其余人，做好战斗准备。我即刻下令。,もし、その知恵が作戦に欠かせぬものと言うならば、愛琥殿、余の力となってもらおう。残りは戦の準備だ。指令はすぐに伝える。
14,309,vocs_over_over_ricefields_post_n18,vocs_ricefields_post_n18_jp,GEISHA,"As you command, Lord Noboru.",属下遵命，昇大人。,仰せのままに、昇様。
14,309,vocs_over_over_ricefields_post_n19,vocs_ricefields_post_n19_jp,BROGUNSON,"Tch, a woman a the strategy table. Ridiculous …",哼，让女人出谋划策？简直荒谬……,ちっ、女が政治だと？馬鹿馬鹿しい…。
14,309,vocs_over_over_ricefields_post_n20,vocs_ricefields_post_n20_jp,WARRIOR,"All of you, a word.",大家过来，我有一言。,皆よ、いいな。
14,310,vocs_over_over_ricefields_post_n21,vocs_ricefields_post_n21_jp,NINJA,"So, behind enemy lines again?",看来又要深入敌后了？,また敵の後ろにつくんだな。
14,310,vocs_over_over_ricefields_post_n22,vocs_ricefields_post_n22_jp,WARRIOR,It seems that way.,很有可能。,そのようだ。
14,310,vocs_over_over_ricefields_post_n23,vocs_ricefields_post_n23_jp,ALCHEMIST,"Hehe, feels like old times already.",哈哈哈，就和当年一样。,ほっほ、昔のようじゃわい。
14,310,vocs_over_over_ricefields_post_n24,vocs_ricefields_post_n24_jp,TRAPPER,Won't Aiko-san be with us?,爱子姐不和我们一起吗？,愛琥さんは一緒じゃないの？
14,310,vocs_over_over_ricefields_post_n25,vocs_ricefields_post_n25_jp,WARRIOR,"She will help us in her own way, advising Lord Noboru. The battle ahead will be very dangerous. You do not have to come, if you don't want to.",她会为昇大人提供谏言，也是在帮助我们。下场战斗将会非常危险，友希小妹你就不要参加了。,愛琥殿は昇様への助言で我らを助けてくれぬか。次の戦いはとても危険ゆえ、雪殿は来なくてもよい。
14,310,vocs_over_over_ricefields_post_n26,vocs_ricefields_post_n26_jp,TRAPPER,"No, I want to help. I was born there. Kanazawa, I mean. I know all the back alleys.",不，我也要去。因为，我就是在金泽城出生的，城里的大街小巷我都熟门熟路。,ううん、あたしも行く。だって金沢は私の故郷だから。それに裏路地だって全部知ってるしね！
14,310,vocs_over_over_ricefields_post_n27,vocs_ricefields_post_n27_jp,WARRIOR,"If it is your wish, I will not deny you. Let us prepare then and wait for Lord Noboru's instructions.",如果你真这么想去，我不会拒绝。那就开始准备吧，等候昇大人的命令。,お主の意思であれば止めはせぬ。では準備を整え、昇様の命令を待とう。
14,311,vocs_over_over_ricefields_post_n28,vocs_ricefields_post_n28_jp,GEISHA,Yuki-chan!,友希小妹!,雪ちゃん！
14,311,vocs_over_over_ricefields_post_n29,vocs_ricefields_post_n29_jp,TRAPPER,Aiko-san. I … I'm sorry …,爱子姐。那个…对不起……,愛琥さん、その…すみません。
14,311,vocs_over_over_ricefields_post_n30,vocs_ricefields_post_n30_jp,GEISHA,"There is no need, Yuki-chan.",没关系的，友希小妹。,いいのよ、雪ちゃん。
14,311,vocs_over_over_ricefields_post_n31,vocs_ricefields_post_n31_jp,TRAPPER,"I was on my way, but then I met Kuma, and there was blood …",那个...我半路遇到了小熊，它身上还有血，所以……,その…途中でクマを見つけて、血だらけで、その…。
14,311,vocs_over_over_ricefields_post_n32,vocs_ricefields_post_n32_jp,GEISHA,You faced a hard decision. I know I would have done the same.,确实是很艰难的抉择。如果是我，也会做出同样的选择。,難しい選択だったわね。そういう場面、私にもあったわ。
14,311,vocs_over_over_ricefields_post_n33,vocs_ricefields_post_n33_jp,GEISHA,"You are no child, Yuki-chan. I doubted you, and for that, I must apologize.",你已经是出色的大人了，友希小妹。我之前还错怪你了，必须向你道歉。,あなたは立派な大人よ、雪ちゃん。疑っていた事、謝らせて。
14,311,vocs_over_over_ricefields_post_n34,vocs_ricefields_post_n34_jp,TRAPPER,Aiko-san  …,爱子姐……,愛琥さん…っ！
