lvl,sec,voen,vojp,s,en,cn,jp
15,362,vocs_over_over_uprising_briefing_n00,vocs_uprising_briefing_n00_jp,BROGUN,The rebels have fortified themselves in Kanazawa Castle. You will infiltrate the stronghold and weaken them from the inside. ,叛军龟缩在金泽城中。你们要潜入城内，从敌人内部削弱他们。 ,謀反者どもは金沢城で立てこもっておる。要塞へ侵入し内側から弱らせよ。 
15,362,vocs_over_over_uprising_briefing_n01,vocs_uprising_briefing_n01_jp,BROGUN,You will act in two groups and attack the castle from both sides.,这次先分组行动，两面夹击。,二手に分かれ、城を両側から攻めてもらう。
15,362,vocs_over_over_uprising_briefing_n02,vocs_uprising_briefing_n02_jp,BROGUN,My forces are facing Okkoto's men head on. You killing his officers will allow the men to advance.,幕府军将从正面迎击叛军。你们尽力杀死敌方军官，帮助我军向前推进。,我が幕府軍は乙事へ正面から向かう。そなたらが役人を討てば、部下の進入もできるだろう。
15,362,vocs_over_over_uprising_briefing_n03,vocs_uprising_briefing_n03_jp,BROGUN,Find your way inside the castle walls and blow up the supply depot.,然后设法进入城内，炸毁补给仓库。,城内壁で道を見つけ、供給庫を破壊せよ。
15,362,vocs_over_over_uprising_briefing_n04,vocs_uprising_briefing_n04_jp,BROGUN,"Once this is done, you are free to engage General Okkoto.",将其炸毁后，便可去干掉乙事。,それが終われば如何様にも乙事と対峙できる。
15,362,vocs_over_over_uprising_briefing_n05,vocs_uprising_briefing_n05_jp,BROGUN,"His death will seal the rebels' defeat. He is a formidable foe, so be prepared before you face him.",只要他死了，叛军便群龙无首，必败无疑。但他也是强敌，要做好万全准备。,彼の死は反乱の終わりを意味するだろう。彼は強敵だ、覚悟してかかれ。
15,362,vocs_over_over_uprising_briefing_n06,vocs_uprising_briefing_n06_jp,BROGUN,Your actions will be the turning point of the battle. You must not fail.,你们的任务是这次作战的关键，只许成功不许失败。,そなたらの行動が、戦の契機となろう。失敗は許されぬ。
15,363,vocs_over_over_uprising_duty1_n00,vocs_uprising_duty1_n00_jp,NINJA,Pretty hectic around here.,战况还真是激烈。,この辺りは、どうも慌ただしいな。
15,363,vocs_over_over_uprising_duty1_n01,vocs_uprising_duty1_n01_jp,WARRIOR,"Once again we face impossible odds, you and me!",你我二人再一次携手挑战极限！,再び共に困難へ立ち向かうことになりましたな！
15,363,vocs_over_over_uprising_duty1_n02,vocs_uprising_duty1_n02_jp,NINJA,"Got to admit, working with you doesn't get boring.",和你合作，倒是意外地不觉得讨厌。,あんたと働くの、割と嫌いじゃないぜ。
15,363,vocs_over_over_uprising_duty1_n03,vocs_uprising_duty1_n03_jp,WARRIOR,"Ha! From you, I take that as a compliment.",哈哈哈！这话能从你口中说出来，真是我天大的荣幸。,ぬはは！それは光栄な話だ！
15,364,vocs_over_over_uprising_duty2_n00,vocs_uprising_duty2_n00_jp,NINJA,Close one back there …,刚才好险……,っむ、近くにいるな。後ろのそこか…。
15,364,vocs_over_over_uprising_duty2_n01,vocs_uprising_duty2_n01_jp,WARRIOR,"The walls aren't far now. We must look death in the face, hahaha.",离城墙已经不远了。让我们准备好光荣战死吧，哈哈哈。,外壁はさほど遠くない。では死に臨むとするか、ぬはは。
15,364,vocs_over_over_uprising_duty2_n02,vocs_uprising_duty2_n02_jp,NINJA,"Mugen, can I ask you something? Why are you always so eager to die? Does honour really mean that much to you?",无限，我有个问题。你为什么总想着光荣战死？名誉对你就真的那么重要吗？,武源、聞かせてくれ。なぜいつも死を求める？名誉の死はそれほどまでに大事なものなのか？
15,364,vocs_over_over_uprising_duty2_n03,vocs_uprising_duty2_n03_jp,WARRIOR,"I merely serve my Shogun, as is my duty. Why are you asking, Hayato-san? Are you not here beside me?",作为将军大人的部下，名誉当然最重要。隼人兄不也是将军的部下吗？,上様に仕える者として当然のこと。隼人殿も、拙者と同じでは？
15,364,vocs_over_over_uprising_duty2_n04,vocs_uprising_duty2_n04_jp,NINJA,"Oh, I'm getting paid. That's very different.",不，我只是拿钱办事。和你不一样…,いや、俺はただの雇われ傭兵に過ぎん。主とは違う。
15,365,vocs_over_over_uprising_duty3_n00,vocs_uprising_duty3_n00_jp,WARRIOR,We are almost inside …,马上就到城内了…,もうすぐ中に入れそうだ…。
15,365,vocs_over_over_uprising_duty3_n02,vocs_uprising_duty3_n02_jp,NINJA,I don't get it. Honour doesn't buy you anything. Especially when you're dead.,我还是不明白。名誉就这么重要吗？甚至比性命还重要？,やはり分からぬ。名誉に如何ほどの価値があるというのだ、そんなものが命の代わりになど…。
15,365,vocs_over_over_uprising_duty3_n03,vocs_uprising_duty3_n03_jp,WARRIOR,"Then tell me, Hayato-san. Why have you followed me into this chaos, this madness? Is money really the reason?",那么请告诉我。你为何要跟我一起出生入死呢？只是为了钱吗？,なれば問おう。貴殿はなぜこの混沌へ…拙者に着いてくる？金欲しさゆえか？
15,365,vocs_over_over_uprising_duty3_n04,vocs_uprising_duty3_n04_jp,NINJA,That's … I …,不……我是……,いや…俺は…。
15,365,vocs_over_over_uprising_duty3_n05,vocs_uprising_duty3_n05_jp,WARRIOR,"Every man chooses his duty. Without duty, life has no purpose. You do not have to understand my choices, Hayato-san. But I pray that you understand your own.",主动背负责任，为肩负的责任而活才是人生正途。就算不理解我的使命也没关系，只要对得起自己心中的那份使命就好。,責務を持ち、責務に生きるが人の在るべき姿と言えよう。何も拙者の使命を理解せずとも構わぬ。だが己が使命はしかと心に抱かれよ。
15,366,vocs_over_over_uprising_sensei1_n00,vocs_uprising_sensei1_n00_jp,TRAPPER,I remember this place. Big samurai houses.,我记得这地方。这些都是武士的大房子。,この場所、覚えてる！大きなお侍さんたちの家だ。
15,366,vocs_over_over_uprising_sensei1_n01,vocs_uprising_sensei1_n01_jp,ALCHEMIST,"So you lived here, Yuki-chan?",友希姑娘，你以前住在这里？,ここに住んでおったのか、雪ちゃんよ？
15,366,vocs_over_over_uprising_sensei1_n02,vocs_uprising_sensei1_n02_jp,TRAPPER,"Yes, with Okaa-san. Not forever though.",嗯，和母亲一起。但没住多久……,うん、お母さんと。…長くはなかったけど。
15,366,vocs_over_over_uprising_sensei1_n03,vocs_uprising_sensei1_n03_jp,ALCHEMIST,"Hmm, why did you leave? Did something happen?",嚯，那为何离开呢？发生了什么事吗？,ほぅ、なぜここを離れた？何かあったのかの？
15,366,vocs_over_over_uprising_sensei1_n04,vocs_uprising_sensei1_n04_jp,TRAPPER,Bad things. Long ago. It … was a bit like this.,发生了坏事。很久以前…就像……像今天这样。,嫌なことがね、ずっと前に。そう…こんな感じだった。
15,366,vocs_over_over_uprising_sensei1_n05,vocs_uprising_sensei1_n05_jp,ALCHEMIST,"Ah, dark memories. Forget that I asked. Let us head for the castle.",啊…还有这等伤心往事。抱歉，就当我没问过。继续往城里前进吧。,ああ、暗澹たる記憶じゃったか。すまぬ、忘れてくれ。城へ向かおうかの。
15,367,vocs_over_over_uprising_sensei2_n00,vocs_uprising_sensei2_n00_jp,ALCHEMIST,"Yuki-chan, What happened after leaving?",友希姑娘，你离开之后又发生了什么？,雪ちゃんや、そこを出てからはどうしてたんじゃ？
15,367,vocs_over_over_uprising_sensei2_n01,vocs_uprising_sensei2_n01_jp,TRAPPER,Why ... Why do you want to know?,…怎么了，你为什么想知道？,なんで…なんで知りたいの？
15,367,vocs_over_over_uprising_sensei2_n02,vocs_uprising_sensei2_n02_jp,ALCHEMIST,Hmm … I was wondering how you've learned the things you know.,嗯……我有点好奇你的一身本领是在哪学到的。,うむ…如何にしておまえさんがものを学んでいったのか気になっての。
15,367,vocs_over_over_uprising_sensei2_n03,vocs_uprising_sensei2_n03_jp,TRAPPER,Well … some things you learn from people. Others you don't. If there's no one who can teach you …,呃...有些是跟别人学的，有些不是。孤身一人，没人可以教我的时候…,まあ…人から学んだのもあるしそうじゃないのもある。もし教えてくれる人がいなかったら…。
15,367,vocs_over_over_uprising_sensei2_n04,vocs_uprising_sensei2_n04_jp,ALCHEMIST,"… then you must teach yourself. You watch, you learn. You question things, and earn the answers. Am I right?",……就只能自学。通过观察、学习、质疑，然后靠自己找出答案。是这样吗？,…なれば自らで自らを教えればよい。見て、学び、己に問い、己で解を出す。どうじゃ？
15,367,vocs_over_over_uprising_sensei2_n05,vocs_uprising_sensei2_n05_jp,TRAPPER,Yes …,对……,はい…。
15,368,vocs_over_over_uprising_sensei3_n00,vocs_uprising_sensei3_n00_jp,ALCHEMIST,"Now, a final question, Yuki-chan. How did I make my rifle so quiet?",最后一个问题，友希姑娘。你知道我是如何让狙击枪消音的吗？,最後の質問じゃ、雪ちゃんよ。ワシはどうやって銃の音を消したと思う？
15,368,vocs_over_over_uprising_sensei3_n01,vocs_uprising_sensei3_n01_jp,TRAPPER,"I-It's … you … no, that's not it! It's so hard, I don't understand it.",是…那个…是用…那个...太难了，我不懂啦。,それは…えっと…そうだなぁ、うーん、えーと…。むー！そんな難しいこと、分からないよ！
15,368,vocs_over_over_uprising_sensei3_n02,vocs_uprising_sensei3_n02_jp,ALCHEMIST,"Hehe, life can be a marvellous teacher. Yet some things only show themselves when others point them out to you.",呵呵呵，虽然生活也是良师，但有些东西，还是要别人指点一二才能学会。,ほっほ、人生とは素晴らしい先生じゃよ、じゃが、人が指導してくれた時にしかわからぬものもいくつかある。
15,368,vocs_over_over_uprising_sensei3_n03,vocs_uprising_sensei3_n03_jp,TRAPPER,Takuma-sama …,琢磨大师……,巧磨様…。
15,368,vocs_over_over_uprising_sensei3_n04,vocs_uprising_sensei3_n04_jp,ALCHEMIST,"Will you let me show you how it works, Yuki-chan?",友希姑娘，想让老夫为你答疑解惑吗？,ワシの手ほどきを受けてみるかのう、雪ちゃん？
15,368,vocs_over_over_uprising_sensei3_n05,vocs_uprising_sensei3_n05_jp,TRAPPER,You mean … like a sensei?,意思是...做我的师父吗？,つまり…先生ってこと？
15,368,vocs_over_over_uprising_sensei3_n06,vocs_uprising_sensei3_n06_jp,ALCHEMIST,"If that is what you want, Yuki-chan.",假如你愿意的话。,それがお主の望みならのう。
15,368,vocs_over_over_uprising_sensei3_n07,vocs_uprising_sensei3_n07_jp,TRAPPER,Really?!Yes! Yes I want that!,真的？！太好了！请收我为徒吧！,本当？！はい！教えてほしいです！
15,368,vocs_over_over_uprising_sensei3_n08,vocs_uprising_sensei3_n08_jp,ALCHEMIST,"Hehehe, who would have thought I would find an apprentice on the battlefield.",哈哈，真没想到我会在战场上收到徒弟呢。,へへ、戦場で弟子ができるとは思わんかったの。
15,369,vo_hint_hint_uprising_warzone_n00,vo_uprising_warzone_n00_jp,ENEMY,Hold the line!,守住防线！,後には引くな！
