lvl,sec,voen,vojp,s,en,cn,jp
19,277,vocs_over_over_monastery2_post_n00,vocs_monastery2_post_n00_jp,NARRATOR,"Although his prisoners had escaped, Lord Noboru reacted quickly. Using clever words he framed them for the murder of the Shogun's son and the death of Mugen.",虽然四人成功逃脱，但昇大名利用花言巧语将他们诬陷为杀害龙之介和无限的凶手。,四人は脱出できたものの、昇は巧みな言葉で武源と龍之介の殺人の濡れ衣を彼らに着せた。
19,277,vocs_over_over_monastery2_post_n01,vocs_monastery2_post_n01_jp,NARRATOR,"While the Shogun sent every available man to hunt down the alleged killers, Noboru silently forged plans to assassinate his brother.",就在将军动用全部人马追捕所谓的凶手之际，昇大名却在暗地里策划暗杀兄长。,犯人を捕らえる為に将軍が部下を派遣する間、昇は密かに兄暗殺の計画を企てていた。
19,277,vocs_over_over_monastery2_post_n02,vocs_monastery2_post_n02_jp,NARRATOR,"Meanwhile, Mugen's companions could do little more than hide from the wrath of the Shogun.",无限的同伴们则只能疲于躲避将军的搜捕。,一方、武源の仲間達は、将軍の激怒から逃れなければならなかった。
19,277,vocs_over_over_monastery2_post_n03,vocs_monastery2_post_n03_jp,NARRATOR,"Knowing the last wishes of her beloved, Aiko prepared for a final, desperate manoeuvre.",而如此同时，为了实现无限的遗愿，爱子准备实施一个孤注一掷的计划。,そして同時に、武源の最後の願いを叶えるべく、必死の作戦を今まさに実行しようとしていた。
19,278,vocs_over_over_monastery2_post_n04,vocs_monastery2_post_n04_jp,NINJA,… you really think meeting here is a good idea?,……约在这种地方见面真的好吗？,…ここで会うのが本当にいいんだろうな？
19,278,vocs_over_over_monastery2_post_n05,vocs_monastery2_post_n05_jp,ALCHEMIST,"The place was ransacked some time ago. Perhaps lightning will strike again, but I have my doubts.",此地不久前已被搜查过一次了。他们再查这里的可能性微乎其微。,この場所は少し前に乱取りがあったんじゃ。ひょっとしたら、また起きるかもしれん。が、怪しいわい。
19,278,vocs_over_over_monastery2_post_n06,vocs_monastery2_post_n06_jp,TRAPPER,… where's Aiko-san?,……爱子姐在哪？,…愛琥さんはどこなの？
19,278,vocs_over_over_monastery2_post_n07,vocs_monastery2_post_n07_jp,ALCHEMIST,"I don't know, Yuki-chan. She should be here by now.",我不知道，友希姑娘。她应该已经到了才对。,わからん、雪ちゃん。今頃着いているはずじゃろうが。
19,278,vocs_over_over_monastery2_post_n08,vocs_monastery2_post_n08_jp,NINJA,This is taking too long. I'm out …,这来得也太晚了。我先走了……,これじゃ遅すぎだ。俺はやめる…。
19,278,vocs_over_over_monastery2_post_n09,vocs_monastery2_post_n09_jp,TRAPPER,"No, don't leave Hayato-san! Please …",不，不要走！隼人师父……,駄目、行かないで。隼人先生！お願い…。
